repo,CommitCommentEvent,CreateEvent,DeleteEvent,ForkEvent,GollumEvent,IssueCommentEvent,IssuesEvent,MemberEvent,PublicEvent,PullRequestEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,PushEvent,ReleaseEvent,WatchEvent
danricho/where_the,0.0,4.0,0.0,2.0,0.0,23.0,16.0,0.0,0.0,4.0,2.0,4.0,40.0,0.0,60.0
danurbanowicz/eleventy-netlify-boilerplate,0.0,11.0,10.0,298.0,0.0,76.0,53.0,0.0,0.0,73.0,0.0,0.0,145.0,0.0,451.0
danylokos/SwiftyTorrent,0.0,2.0,0.0,16.0,0.0,8.0,12.0,0.0,2.0,26.0,0.0,0.0,95.0,0.0,120.0
daochenzha/rapid,0.0,2.0,0.0,9.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,54.0
daox90/Fps-Booster-Free-Download-2023,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,99.0
daphnis-kau/XScript,0.0,0.0,0.0,8.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,62.0,0.0,64.0
dariopavllo/textured-3d-gan,0.0,3.0,0.0,25.0,0.0,4.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,158.0
darjun/go-daily-lib,0.0,13.0,2.0,598.0,0.0,95.0,92.0,0.0,0.0,20.0,0.0,0.0,90.0,0.0,5021.0
darkfury121b3gm/oWarzone2BLACKo,0.0,2.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,106.0
darkhz/bluetuith,0.0,29.0,7.0,23.0,5.0,194.0,107.0,0.0,1.0,21.0,2.0,5.0,34.0,24.0,875.0
darklinkpower/Harmony,0.0,70.0,0.0,16.0,0.0,38.0,41.0,0.0,0.0,6.0,0.0,0.0,190.0,65.0,62.0
darklinkpower/Helium,0.0,58.0,2.0,10.0,3.0,64.0,79.0,0.0,0.0,13.0,5.0,0.0,189.0,57.0,62.0
darksol439/Deadlock-hack,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,96.0
darkwark/isobox-for-aseprite,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,91.0
darold/pgtt,0.0,20.0,3.0,16.0,0.0,181.0,68.0,1.0,0.0,29.0,5.0,7.0,103.0,14.0,85.0
darrenburns/rich-pixels,0.0,7.0,0.0,12.0,0.0,38.0,19.0,0.0,0.0,16.0,2.0,5.0,22.0,5.0,229.0
darrencauthon/AutoMoq,0.0,0.0,0.0,18.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,72.0
dart-lang/characters,1.0,78.0,65.0,18.0,0.0,103.0,50.0,2.0,0.0,153.0,106.0,92.0,164.0,1.0,68.0
darxkies/k8s-tew,0.0,30.0,6.0,33.0,0.0,79.0,44.0,0.0,0.0,9.0,0.0,0.0,248.0,22.0,138.0
dashee87/cryptory,0.0,0.0,0.0,26.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,68.0
dashroshan/openvpn-wireguard-admin,0.0,1.0,1.0,36.0,0.0,13.0,29.0,0.0,0.0,6.0,0.0,1.0,14.0,0.0,152.0
dashvlas/awesome-ios-interview,0.0,0.0,0.0,117.0,0.0,1.0,3.0,0.0,0.0,9.0,0.0,0.0,13.0,0.0,819.0
databat-io/sonar,0.0,22.0,14.0,7.0,0.0,40.0,27.0,0.0,0.0,47.0,0.0,0.0,133.0,0.0,56.0
databricks/databricks-sql-python,1.0,205.0,114.0,92.0,1.0,1053.0,281.0,9.0,1.0,469.0,727.0,856.0,621.0,39.0,159.0
databricks/jsonnet-style-guide,0.0,0.0,0.0,14.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,146.0
databricks/terraform-provider-databricks,4.0,1902.0,1726.0,237.0,0.0,4309.0,1793.0,2.0,0.0,2724.0,3115.0,4345.0,3719.0,75.0,222.0
