actor,CommitCommentEvent,CreateEvent,DeleteEvent,ForkEvent,GollumEvent,IssueCommentEvent,IssuesEvent,MemberEvent,PublicEvent,PullRequestEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,PushEvent,ReleaseEvent,WatchEvent
edgabaldi,0.0,10.0,3.0,7.0,15.0,3.0,7.0,1.0,0.0,3.0,0.0,0.0,115.0,0.0,47.0
edgar971,0.0,46.0,4.0,10.0,0.0,25.0,3.0,2.0,3.0,7.0,3.0,3.0,229.0,10.0,69.0
edgardz,0.0,41.0,4.0,1.0,0.0,27.0,3.0,0.0,0.0,61.0,38.0,62.0,128.0,0.0,8.0
ediah,2.0,47.0,24.0,6.0,5.0,10.0,10.0,2.0,0.0,13.0,6.0,4.0,188.0,8.0,174.0
ediaz2,0.0,63.0,1.0,26.0,0.0,5.0,7.0,3.0,2.0,22.0,0.0,0.0,132.0,0.0,805.0
edisonstep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
edisonye,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0
edk4971,0.0,1.0,0.0,3.0,0.0,9.0,12.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
edmondhuang,0.0,38.0,10.0,136.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,0.0,131.0
edmundask,0.0,6.0,6.0,5.0,0.0,5.0,1.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,130.0
edocabhi,0.0,12.0,4.0,21.0,0.0,32.0,5.0,0.0,0.0,11.0,0.0,2.0,56.0,0.0,30.0
edu-as,0.0,97.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,121.0,0.0,98.0
eduard-huma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
eduardoreno,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0
eduardosalaz,7.0,146.0,30.0,45.0,3.0,24.0,22.0,22.0,10.0,49.0,0.0,0.0,1144.0,0.0,2046.0
educastrob,0.0,66.0,23.0,1.0,0.0,0.0,2.0,2.0,4.0,124.0,0.0,0.0,313.0,0.0,39.0
edueo,0.0,134.0,1.0,21.0,4.0,7.0,56.0,1.0,0.0,25.0,2.0,9.0,462.0,0.0,160.0
