name,month,download_count
antgo,2021-09,1789
antgo,2021-10,729
antgo,2021-11,1377
antgo,2021-12,1032
antgo,2022-01,1037
antgo,2022-02,1098
antgo,2022-03,1979
antgo,2022-04,885
antgo,2022-05,904
antgo,2022-06,906
antgo,2022-07,642
antgo,2022-08,832
antgo,2022-09,590
antgo,2022-10,751
antgo,2022-11,841
antgo,2022-12,569
antgo,2023-01,464
antgo,2023-02,884
antgo,2023-03,822
antgo,2023-04,1819
antgo,2023-05,1516
antgo,2023-06,3160
antgo,2023-07,2481
antgo,2023-08,1818
antgo,2023-09,1183
antgo,2023-10,1651
antgo,2023-11,1215
antgo,2023-12,1290
antgo,2024-01,1098
antgo,2024-02,1631
antgo,2024-03,1252
antgo,2024-04,1676
antgo,2024-05,928
antgo,2024-06,1056
antgo,2024-07,1617
antgo,2024-08,160
crawlipt,2024-04,969
crawlipt,2024-05,4160
crawlipt,2024-06,970
crawlipt,2024-07,1322
crawlipt,2024-08,93
crawlist,2024-04,1781
crawlist,2024-05,1556
crawlist,2024-06,607
crawlist,2024-07,810
crawlist,2024-08,76
django-db-only,2022-07,128
django-db-only,2022-08,108
django-db-only,2022-09,50
django-db-only,2022-10,59
django-db-only,2022-11,76
django-db-only,2022-12,37
django-db-only,2023-01,27
django-db-only,2023-02,45
django-db-only,2023-03,56
django-db-only,2023-04,43
django-db-only,2023-05,32
django-db-only,2023-06,35
django-db-only,2023-07,44
django-db-only,2023-08,40
django-db-only,2023-09,32
django-db-only,2023-10,36
django-db-only,2023-11,44
django-db-only,2023-12,34
django-db-only,2024-01,30
django-db-only,2024-02,37
django-db-only,2024-03,27
django-db-only,2024-04,32
django-db-only,2024-05,24
django-db-only,2024-06,27
django-db-only,2024-07,34
django-db-only,2024-08,4
fay,2022-02,307
fay,2022-04,1
fay,2022-05,6
fay,2022-09,3
fay,2022-11,1
fay,2022-12,2
fay,2023-07,1
fay,2023-11,2
fay,2024-02,2
fay,2024-06,1530
fay,2024-07,227
fay,2024-08,16
flyteidl,2019-08,400
flyteidl,2019-09,4356
flyteidl,2019-10,15255
flyteidl,2019-11,49738
flyteidl,2019-12,45538
flyteidl,2020-01,48133
flyteidl,2020-02,16038
flyteidl,2020-03,16517
flyteidl,2020-04,16752
flyteidl,2020-05,41819
flyteidl,2020-06,30070
flyteidl,2020-07,30691
flyteidl,2020-08,29529
flyteidl,2020-09,27479
flyteidl,2020-10,29721
flyteidl,2020-11,21515
flyteidl,2020-12,20237
flyteidl,2021-01,20763
flyteidl,2021-02,18950
flyteidl,2021-03,25231
flyteidl,2021-04,25529
flyteidl,2021-05,23683
flyteidl,2021-06,27360
flyteidl,2021-07,26173
flyteidl,2021-08,26321
flyteidl,2021-09,30011
flyteidl,2021-10,25629
flyteidl,2021-11,24695
flyteidl,2021-12,27609
flyteidl,2022-01,41389
flyteidl,2022-02,30542
flyteidl,2022-03,43507
flyteidl,2022-04,41027
flyteidl,2022-05,28056
flyteidl,2022-06,38812
flyteidl,2022-07,35165
flyteidl,2022-08,46729
flyteidl,2022-09,53803
flyteidl,2022-10,58995
flyteidl,2022-11,56570
flyteidl,2022-12,53129
flyteidl,2023-01,58795
flyteidl,2023-02,63706
flyteidl,2023-03,83022
flyteidl,2023-04,64847
flyteidl,2023-05,95411
flyteidl,2023-06,131285
flyteidl,2023-07,147266
flyteidl,2023-08,162271
flyteidl,2023-09,158781
flyteidl,2023-10,154130
flyteidl,2023-11,370551
flyteidl,2023-12,336843
flyteidl,2024-01,234424
flyteidl,2024-02,190366
flyteidl,2024-03,846970
flyteidl,2024-04,146532
flyteidl,2024-05,282971
flyteidl,2024-06,159809
flyteidl,2024-07,242520
flyteidl,2024-08,29297
funccache,2023-03,326
funccache,2023-04,833
funccache,2023-05,422
funccache,2023-06,292
funccache,2023-07,581
funccache,2023-08,360
funccache,2023-09,271
funccache,2023-10,564
funccache,2023-11,322
funccache,2023-12,337
funccache,2024-01,258
funccache,2024-02,352
funccache,2024-03,293
funccache,2024-04,1042
funccache,2024-05,485
funccache,2024-06,267
funccache,2024-07,786
funccache,2024-08,113
google-shopping-scraper-api,2024-02,237
google-shopping-scraper-api,2024-03,136
google-shopping-scraper-api,2024-04,62
google-shopping-scraper-api,2024-05,75
google-shopping-scraper-api,2024-06,68
google-shopping-scraper-api,2024-07,90
google-shopping-scraper-api,2024-08,10
gqylpy-exception,2022-05,83
gqylpy-exception,2022-06,416
gqylpy-exception,2022-07,322
gqylpy-exception,2022-08,593
gqylpy-exception,2022-09,367
gqylpy-exception,2022-10,1044
gqylpy-exception,2022-11,826
gqylpy-exception,2022-12,633
gqylpy-exception,2023-01,734
gqylpy-exception,2023-02,649
gqylpy-exception,2023-03,802
gqylpy-exception,2023-04,1360
gqylpy-exception,2023-05,1030
gqylpy-exception,2023-06,1079
gqylpy-exception,2023-07,851
gqylpy-exception,2023-08,764
gqylpy-exception,2023-09,522
gqylpy-exception,2023-10,911
gqylpy-exception,2023-11,646
gqylpy-exception,2023-12,661
gqylpy-exception,2024-01,543
gqylpy-exception,2024-02,1108
gqylpy-exception,2024-03,783
gqylpy-exception,2024-04,579
gqylpy-exception,2024-05,950
gqylpy-exception,2024-06,844
gqylpy-exception,2024-07,1685
gqylpy-exception,2024-08,250
intelliscraper,2024-01,601
intelliscraper,2024-02,198
intelliscraper,2024-03,180
intelliscraper,2024-04,117
intelliscraper,2024-05,130
intelliscraper,2024-06,134
intelliscraper,2024-07,153
intelliscraper,2024-08,12
lagent,2023-08,540
lagent,2023-09,353
lagent,2023-10,592
lagent,2023-11,760
lagent,2023-12,571
lagent,2024-01,1299
lagent,2024-02,2392
lagent,2024-03,2289
lagent,2024-04,2492
lagent,2024-05,3112
lagent,2024-06,3734
lagent,2024-07,6484
lagent,2024-08,1015
lavague,2024-03,2977
lavague,2024-04,2014
lavague,2024-05,9087
lavague,2024-06,6298
lavague,2024-07,8132
lavague,2024-08,2502
live-bench,2024-06,473
live-bench,2024-07,97
live-bench,2024-08,32
llama-github,2024-06,471
llama-github,2024-07,140
llama-github,2024-08,15
lm-debug-eval-ui,2024-04,1553
lm-debug-eval-ui,2024-05,422
lm-debug-eval-ui,2024-06,268
lm-debug-eval-ui,2024-07,395
lm-debug-eval-ui,2024-08,66
lmms-eval,2024-03,1769
lmms-eval,2024-04,1022
lmms-eval,2024-05,1071
lmms-eval,2024-06,1610
lmms-eval,2024-07,4334
lmms-eval,2024-08,447
loginform,2016-01,317
loginform,2016-02,1215
loginform,2016-03,294
loginform,2016-05,346
loginform,2016-06,1219
loginform,2016-07,1607
loginform,2016-08,2693
loginform,2016-09,1829
loginform,2016-10,1495
loginform,2016-11,1386
loginform,2016-12,1409
loginform,2017-01,1285
loginform,2017-02,1503
loginform,2017-03,1338
loginform,2017-04,1091
loginform,2017-05,804
loginform,2017-06,1031
loginform,2017-07,790
loginform,2017-08,821
loginform,2017-09,700
loginform,2017-10,790
loginform,2017-11,765
loginform,2017-12,833
loginform,2018-01,761
loginform,2018-02,552
loginform,2018-03,433
loginform,2018-04,487
loginform,2018-05,845
loginform,2018-06,353
loginform,2018-07,354
loginform,2018-08,1092
loginform,2018-09,1080
loginform,2018-10,1217
loginform,2018-11,1061
loginform,2018-12,2986
loginform,2019-01,1423
loginform,2019-02,1625
loginform,2019-03,1741
loginform,2019-04,1455
loginform,2019-05,1692
loginform,2019-06,1453
loginform,2019-07,1624
loginform,2019-08,1660
loginform,2019-09,1462
loginform,2019-10,1757
loginform,2019-11,1822
loginform,2019-12,1990
loginform,2020-01,1854
loginform,2020-02,1751
loginform,2020-03,2180
loginform,2020-04,2309
loginform,2020-05,1794
loginform,2020-06,1311
loginform,2020-07,1452
loginform,2020-08,1638
loginform,2020-09,1709
loginform,2020-10,1389
loginform,2020-11,1633
loginform,2020-12,1280
loginform,2021-01,1353
loginform,2021-02,1304
loginform,2021-03,1549
loginform,2021-04,1595
loginform,2021-05,1555
loginform,2021-06,1466
loginform,2021-07,1321
loginform,2021-08,1555
loginform,2021-09,1476
loginform,2021-10,1395
loginform,2021-11,1896
loginform,2021-12,1600
loginform,2022-01,1663
loginform,2022-02,2011
loginform,2022-03,7223
loginform,2022-04,1618
loginform,2022-05,1900
loginform,2022-06,2383
loginform,2022-07,2666
loginform,2022-08,2559
loginform,2022-09,2114
loginform,2022-10,2376
loginform,2022-11,1736
loginform,2022-12,1382
loginform,2023-01,1816
loginform,2023-02,1988
loginform,2023-03,1962
loginform,2023-04,2005
loginform,2023-05,2077
loginform,2023-06,1838
loginform,2023-07,929
loginform,2023-08,1074
loginform,2023-09,859
loginform,2023-10,996
loginform,2023-11,896
loginform,2023-12,812
loginform,2024-01,789
loginform,2024-02,1125
loginform,2024-03,1291
loginform,2024-04,1390
loginform,2024-05,1373
loginform,2024-06,1608
loginform,2024-07,3199
loginform,2024-08,533
m77,2024-02,420
m77,2024-03,104
m77,2024-04,67
m77,2024-05,76
m77,2024-06,67
m77,2024-07,103
m77,2024-08,12
metasequoia-sql,2024-03,205
metasequoia-sql,2024-04,713
metasequoia-sql,2024-05,602
metasequoia-sql,2024-06,236
metasequoia-sql,2024-07,284
metasequoia-sql,2024-08,47
mlgb,2020-11,231
mlgb,2020-12,95
mlgb,2021-01,65
mlgb,2021-02,52
mlgb,2021-03,80
mlgb,2021-04,60
mlgb,2021-05,106
mlgb,2021-06,77
mlgb,2021-07,73
mlgb,2021-08,53
mlgb,2021-09,40
mlgb,2021-10,39
mlgb,2021-11,43
mlgb,2021-12,40
mlgb,2022-01,46
mlgb,2022-02,45
mlgb,2022-03,82
mlgb,2022-04,40
mlgb,2022-05,35
mlgb,2022-06,42
mlgb,2022-07,29
mlgb,2022-08,48
mlgb,2022-09,35
mlgb,2022-10,40
mlgb,2022-11,53
mlgb,2022-12,25
mlgb,2023-01,19
mlgb,2023-02,31
mlgb,2023-03,40
mlgb,2023-04,27
mlgb,2023-05,26
mlgb,2023-06,21
mlgb,2023-07,26
mlgb,2023-08,40
mlgb,2023-09,20
mlgb,2023-10,29
mlgb,2023-11,31
mlgb,2023-12,31
mlgb,2024-01,974
mlgb,2024-02,283
mlgb,2024-03,218
mlgb,2024-04,181
mlgb,2024-05,158
mlgb,2024-06,152
mlgb,2024-07,227
mlgb,2024-08,20
nextcaptcha-python,2024-03,519
nextcaptcha-python,2024-04,506
nextcaptcha-python,2024-05,529
nextcaptcha-python,2024-06,444
nextcaptcha-python,2024-07,1830
nextcaptcha-python,2024-08,162
portfolio-optimize,2024-03,1893
portfolio-optimize,2024-04,503
portfolio-optimize,2024-05,418
portfolio-optimize,2024-06,242
portfolio-optimize,2024-07,389
portfolio-optimize,2024-08,56
promptdesk,2023-09,889
promptdesk,2023-10,829
promptdesk,2023-11,1828
promptdesk,2023-12,1604
promptdesk,2024-01,894
promptdesk,2024-02,1088
promptdesk,2024-03,903
promptdesk,2024-04,881
promptdesk,2024-05,591
promptdesk,2024-06,466
promptdesk,2024-07,881
promptdesk,2024-08,36
pydocker,2019-05,972
pydocker,2019-06,567
pydocker,2019-07,505
pydocker,2019-08,356
pydocker,2019-09,357
pydocker,2019-10,362
pydocker,2019-11,301
pydocker,2019-12,346
pydocker,2020-01,338
pydocker,2020-02,292
pydocker,2020-03,280
pydocker,2020-04,405
pydocker,2020-05,392
pydocker,2020-06,414
pydocker,2020-07,246
pydocker,2020-08,430
pydocker,2020-09,438
pydocker,2020-10,275
pydocker,2020-11,253
pydocker,2020-12,234
pydocker,2021-01,267
pydocker,2021-02,251
pydocker,2021-03,369
pydocker,2021-04,344
pydocker,2021-05,243
pydocker,2021-06,215
pydocker,2021-07,221
pydocker,2021-08,206
pydocker,2021-09,160
pydocker,2021-10,193
pydocker,2021-11,211
pydocker,2021-12,195
pydocker,2022-01,437
pydocker,2022-02,343
pydocker,2022-03,446
pydocker,2022-04,267
pydocker,2022-05,225
pydocker,2022-06,227
pydocker,2022-07,180
pydocker,2022-08,263
pydocker,2022-09,218
pydocker,2022-10,262
pydocker,2022-11,275
pydocker,2022-12,139
pydocker,2023-01,180
pydocker,2023-02,269
pydocker,2023-03,244
pydocker,2023-04,236
pydocker,2023-05,177
pydocker,2023-06,178
pydocker,2023-07,321
pydocker,2023-08,496
pydocker,2023-09,370
pydocker,2023-10,438
pydocker,2023-11,433
pydocker,2023-12,265
pydocker,2024-01,240
pydocker,2024-02,203
pydocker,2024-03,148
pydocker,2024-04,217
pydocker,2024-05,113
pydocker,2024-06,139
pydocker,2024-07,196
pydocker,2024-08,21
pypdfform,2020-10,102
pypdfform,2020-11,3155
pypdfform,2020-12,1933
pypdfform,2021-01,2088
pypdfform,2021-02,2193
pypdfform,2021-03,2442
pypdfform,2021-04,3850
pypdfform,2021-05,3199
pypdfform,2021-06,3023
pypdfform,2021-07,3813
pypdfform,2021-08,2514
pypdfform,2021-09,2534
pypdfform,2021-10,2472
pypdfform,2021-11,2929
pypdfform,2021-12,2593
pypdfform,2022-01,3280
pypdfform,2022-02,3262
pypdfform,2022-03,5966
pypdfform,2022-04,2201
pypdfform,2022-05,1438
pypdfform,2022-06,2758
pypdfform,2022-07,1797
pypdfform,2022-08,2530
pypdfform,2022-09,1786
pypdfform,2022-10,2447
pypdfform,2022-11,3330
pypdfform,2022-12,2667
pypdfform,2023-01,3878
pypdfform,2023-02,4940
pypdfform,2023-03,4358
pypdfform,2023-04,4339
pypdfform,2023-05,3925
pypdfform,2023-06,4100
pypdfform,2023-07,4551
pypdfform,2023-08,4560
pypdfform,2023-09,3399
pypdfform,2023-10,5050
pypdfform,2023-11,3439
pypdfform,2023-12,4369
pypdfform,2024-01,6086
pypdfform,2024-02,8763
pypdfform,2024-03,9919
pypdfform,2024-04,9380
pypdfform,2024-05,7658
pypdfform,2024-06,8599
pypdfform,2024-07,11218
pypdfform,2024-08,957
python-aiconfig,2023-10,802
python-aiconfig,2023-11,2947
python-aiconfig,2023-12,2947
python-aiconfig,2024-01,4410
python-aiconfig,2024-02,4792
python-aiconfig,2024-03,4404
python-aiconfig,2024-04,3042
python-aiconfig,2024-05,2168
python-aiconfig,2024-06,1905
python-aiconfig,2024-07,2387
python-aiconfig,2024-08,68
python-aiconfig-llama,2023-11,344
python-aiconfig-llama,2023-12,148
python-aiconfig-llama,2024-01,99
python-aiconfig-llama,2024-02,65
python-aiconfig-llama,2024-03,82
python-aiconfig-llama,2024-04,62
python-aiconfig-llama,2024-05,44
python-aiconfig-llama,2024-06,42
python-aiconfig-llama,2024-07,79
python-aiconfig-llama,2024-08,3
python-aiconfig-test,2024-02,349
python-aiconfig-test,2024-03,92
python-aiconfig-test,2024-04,63
python-aiconfig-test,2024-05,56
python-aiconfig-test,2024-06,50
python-aiconfig-test,2024-07,89
python-aiconfig-test,2024-08,6
python-web-scraping-tutorial-step-by-step,2023-11,140
python-web-scraping-tutorial-step-by-step,2023-12,65
python-web-scraping-tutorial-step-by-step,2024-01,53
python-web-scraping-tutorial-step-by-step,2024-02,36
python-web-scraping-tutorial-step-by-step,2024-03,36
python-web-scraping-tutorial-step-by-step,2024-04,39
python-web-scraping-tutorial-step-by-step,2024-05,25
python-web-scraping-tutorial-step-by-step,2024-06,22
python-web-scraping-tutorial-step-by-step,2024-07,45
python-web-scraping-tutorial-step-by-step,2024-08,3
quad-iou,2024-05,551
quad-iou,2024-06,107
quad-iou,2024-07,110
quad-iou,2024-08,7
sdgx,2023-08,247
sdgx,2023-09,84
sdgx,2023-10,54
sdgx,2023-11,71
sdgx,2023-12,1438
sdgx,2024-01,1345
sdgx,2024-02,744
sdgx,2024-03,892
sdgx,2024-04,680
sdgx,2024-05,530
sdgx,2024-06,530
sdgx,2024-07,515
sdgx,2024-08,127
skscope,2023-08,8018
skscope,2023-09,3846
skscope,2023-10,2478
skscope,2023-11,3764
skscope,2023-12,3509
skscope,2024-01,2271
skscope,2024-02,1975
skscope,2024-03,1737
skscope,2024-04,3814
skscope,2024-05,2721
skscope,2024-06,4218
skscope,2024-07,3690
skscope,2024-08,606
torchensemble,2021-02,436
torchensemble,2021-03,1168
torchensemble,2021-04,996
torchensemble,2021-05,1020
torchensemble,2021-06,1044
torchensemble,2021-07,769
torchensemble,2021-08,2143
torchensemble,2021-09,9655
torchensemble,2021-10,1992
torchensemble,2021-11,2602
torchensemble,2021-12,1568
torchensemble,2022-01,971
torchensemble,2022-02,970
torchensemble,2022-03,10060
torchensemble,2022-04,3300
torchensemble,2022-05,1253
torchensemble,2022-06,1662
torchensemble,2022-07,1128
torchensemble,2022-08,1683
torchensemble,2022-09,1256
torchensemble,2022-10,986
torchensemble,2022-11,1078
torchensemble,2022-12,650
torchensemble,2023-01,895
torchensemble,2023-02,769
torchensemble,2023-03,1243
torchensemble,2023-04,931
torchensemble,2023-05,996
torchensemble,2023-06,660
torchensemble,2023-07,950
torchensemble,2023-08,941
torchensemble,2023-09,996
torchensemble,2023-10,690
torchensemble,2023-11,686
torchensemble,2023-12,746
torchensemble,2024-01,651
torchensemble,2024-02,580
torchensemble,2024-03,994
torchensemble,2024-04,1126
torchensemble,2024-05,843
torchensemble,2024-06,3570
torchensemble,2024-07,3501
torchensemble,2024-08,506
uniref,2023-01,854
uniref,2023-02,511
uniref,2023-03,986
uniref,2023-04,552
uniref,2023-05,518
uniref,2023-06,269
uniref,2023-07,559
uniref,2023-08,411
uniref,2023-09,307
uniref,2023-10,318
uniref,2023-11,508
uniref,2023-12,539
uniref,2024-01,317
uniref,2024-02,258
uniref,2024-03,180
uniref,2024-04,195
uniref,2024-05,183
uniref,2024-06,149
uniref,2024-07,223
uniref,2024-08,19
vpselector,2023-09,1022
vpselector,2023-10,277
vpselector,2023-11,217
vpselector,2023-12,252
vpselector,2024-01,244
vpselector,2024-02,167
vpselector,2024-03,118
vpselector,2024-04,168
vpselector,2024-05,147
vpselector,2024-06,133
vpselector,2024-07,215
vpselector,2024-08,14
web-unblocker,2023-11,251
web-unblocker,2023-12,114
web-unblocker,2024-01,86
web-unblocker,2024-02,76
web-unblocker,2024-03,103
web-unblocker,2024-04,120
web-unblocker,2024-05,61
web-unblocker,2024-06,55
web-unblocker,2024-07,80
web-unblocker,2024-08,6
weidmd,2023-10,284
weidmd,2023-11,172
weidmd,2023-12,85
weidmd,2024-01,68
weidmd,2024-02,57
weidmd,2024-03,86
weidmd,2024-04,47
weidmd,2024-05,37
weidmd,2024-06,47
weidmd,2024-07,62
weidmd,2024-08,4
youtube-video-scraper-api,2024-02,222
youtube-video-scraper-api,2024-03,113
youtube-video-scraper-api,2024-04,60
youtube-video-scraper-api,2024-05,49
youtube-video-scraper-api,2024-06,50
youtube-video-scraper-api,2024-07,76
youtube-video-scraper-api,2024-08,2
zksync2,2022-10,196
zksync2,2022-11,321
zksync2,2022-12,416
zksync2,2023-01,474
zksync2,2023-02,317
zksync2,2023-03,596
zksync2,2023-04,1049
zksync2,2023-05,1001
zksync2,2023-06,1028
zksync2,2023-07,1625
zksync2,2023-08,1790
zksync2,2023-09,1569
zksync2,2023-10,894
zksync2,2023-11,1389
zksync2,2023-12,2002
zksync2,2024-01,2496
zksync2,2024-02,2226
zksync2,2024-03,2446
zksync2,2024-04,3672
zksync2,2024-05,1547
zksync2,2024-06,2408
zksync2,2024-07,1986
zksync2,2024-08,311
