repo,packages,trending,domain
jokmandis/Proxy-v1.2,False,False,suspicious
joshpxyne/gpt-migrate,False,False,ai
Joystream/joystream,True,False,blockchain
jur1us/BCOIN2048-AUTOCLICKER,False,False,suspicious
jy02404353/btcposbal2csv,False,False,blockchain
Kalxi/Rewind-AI-WQA,False,False,suspicious
Katya1803/Crypto-Nft-Airdrop-Tool,False,False,suspicious
kazura233/kazurajs,True,False,web
kazura233/web-daemon,True,True,web
kby-ai/FaceRecognition-Ionic-Cordova,False,False,ai
Ke14523sufu/VALORANTBLACK,False,False,suspicious
keephq/keep,True,True,ai
kernel0x/bundlesaver,False,False,other
khederkasem/solana-sniper-bot,False,False,suspicious
khederkasem/solrunner-solana-frontrun,False,False,suspicious
kiko-love/your-music-station-v1,False,False,tutorial/demo
KindlingProject/kindling,True,True,other
kosaka-bun/honoka-sdk,False,False,basic-utilty
KyrilosNasr/Skinet4,False,False,suspicious
lailongwei/llbc,False,True,web
Langboat/Mengzi3,False,False,ai
LaqiraProtocol/LaqiraToken,False,False,blockchain
lastmile-ai/aiconfig,True,True,ai
lavague-ai/LaVague,True,True,ai
lavender-projects/lavsource-bilibili,False,False,tool/application
layer-pack/layer-pack,True,False,ai
LazyAGI/LazyLLM,True,False,ai
lazyFrogLOL/llmdocparser,True,False,ai
lens-vm/lens,True,False,other
Levoerly/lovelr,False,False,suspicious
liberu-genealogy/genealogy-laravel,True,False,web
LinHanlove/atom-tools,True,False,basic-utilty
liquan-0108/retry-cdn,True,False,web
lixiang0618/LearnGo,False,False,tutorial/demo
liyuec/webSite_Update_Detector,True,False,web
LLOneBot/LLOneBot,False,True,bot
lorstoki/Lis,False,False,suspicious
LuaanNguyen/luannguyen-portfolio,False,False,tutorial/demo
Luhuanz/time-series,False,False,tutorial/demo
LuKresXD/LuKres.dev,False,False,tutorial/demo
LupusLeaks/EasyFN,False,False,other
lyr408/Hotfix,False,False,tool/application
m8s-lab/pump-fun-smart-contract,False,False,blockchain
MagicedenMinter/SolanaMint,False,True,suspicious
mahdibland/V2RayAggregator,False,True,tutorial/demo
makeecat/Peng,True,False,other
manujajay/portfolio-optimize,True,False,ai
manumerous/vpselector,True,False,other
marsCXXV/Magiceden-bot,False,True,suspicious
masonlewisx1/Pekka-Android-rat-2024,False,False,suspicious
matter-labs/hardhat-zksync,True,True,blockchain
matter-labs/zksync-lite-docs,False,False,blockchain
matter-labs/zksync-web-era-docs,False,True,blockchain
