github,total_stars,fake_stars,fake_percentage
braintree/credit-card-type,964,4,0.4149377593360996
kenjdavidson/react-native-bluetooth-classic,241,1,0.4149377593360996
souvik-ghosh/react-native-create-thumbnail,242,1,0.4132231404958678
kornelski/http-cache-semantics,242,1,0.4132231404958678
tigerbeetle/tigerbeetle,8735,36,0.412135088723526
papercups-io/chat-widget,243,1,0.411522633744856
DoctorMcKay/node-globaloffensive,243,1,0.411522633744856
neo4j/graphql,489,2,0.408997955010225
israelroldan/grunt-ssh,246,1,0.40650406504065045
Trendyol/baklava,1233,5,0.40551500405515
pnp/pnpjs,740,3,0.40540540540540543
cordova-sms/cordova-sms-plugin,247,1,0.4048582995951417
appium/appium-android-driver,247,1,0.4048582995951417
waylaidwanderer/node-chatgpt-api,4200,17,0.4047619047619047
yangyanggu/vue-amap,249,1,0.4016064257028112
betagouv/mon-entreprise,249,1,0.4016064257028112
primefaces/primeicons,249,1,0.4016064257028112
figma-plugin-helper-functions/figma-plugin-helpers,249,1,0.4016064257028112
wbobeirne/eth-balance-checker,249,1,0.4016064257028112
intlify/vue-i18n-next,2004,8,0.39920159680638717
remcohaszing/monaco-yaml,251,1,0.398406374501992
filiphric/cypress-plugin-api,251,1,0.398406374501992
prebid/Prebid.js,1257,5,0.3977724741447892
18f/identity-idp,506,2,0.3952569169960474
esri/cedar,254,1,0.39370078740157477
apvarun/toastify-js,2036,8,0.3929273084479371
yyx990803/okie,255,1,0.39215686274509803
mazipan/vue-google-adsense,256,1,0.390625
joshswan/react-native-globalize,256,1,0.390625
rmariuzzo/Lang.js,258,1,0.3875968992248062
uport-project/ethr-did,258,1,0.3875968992248062
pvorb/node-clone,775,3,0.3870967741935484
Azure/azure-iot-sdk-node,259,1,0.3861003861003861
gravity-ui/uikit,518,2,0.3861003861003861
lorenzofox3/zora,520,2,0.38461538461538464
netlify/open-api,261,1,0.38314176245210724
cmseaton42/node-ethernet-ip,261,1,0.38314176245210724
h5bp/html5-boilerplate,56223,215,0.3824057769951799
terra-money/terra.js,263,1,0.38022813688212925
vimeo/vimeo.js,264,1,0.3787878787878788
Bruno-Furtado/react-native-sms-retriever,265,1,0.37735849056603776
crusher-dev/crusher,530,2,0.37735849056603776
achingbrain/it,265,1,0.37735849056603776
angular/protractor-accessibility-plugin,265,1,0.37735849056603776
h5bp/server-configs-apache,3185,12,0.3767660910518053
erxes/erxes,3456,13,0.3761574074074074
jaredhanson/passport-http,267,1,0.37453183520599254
sourcegraph/src-cli,268,1,0.3731343283582089
Esri/calcite-design-system,269,1,0.37174721189591076
eggjs/egg-redis,269,1,0.37174721189591076
microsoft/devicescript,3235,12,0.37094281298299847
SAP/fundamental,270,1,0.3703703703703704
RyanMarcus/dirty-json,270,1,0.3703703703703704
maticnetwork/matic.js,540,2,0.3703703703703704
GA-MO/react-confirm-alert,271,1,0.36900369003690037
FL3NKEY/scroll-lock,272,1,0.3676470588235294
Decathlon/vitamin-web,274,1,0.36496350364963503
san650/ember-cli-page-object,274,1,0.36496350364963503
facebookresearch/playtorch,823,3,0.3645200486026731
cosmicjs/cosmicjs-node,275,1,0.36363636363636365
cibernox/svelte-intl-precompile,275,1,0.36363636363636365
bluesky-social/atproto,5776,21,0.3635734072022161
aftership/phone,826,3,0.36319612590799033
recharts/react-smooth,276,1,0.36231884057971014
feat-agency/vite-plugin-webfont-dl,276,1,0.36231884057971014
go-task/task,10499,38,0.36193923230783887
coinbase/wallet-mobile-sdk,277,1,0.36101083032490977
bighappyworld/email-verify,277,1,0.36101083032490977
hjdhjd/homebridge-unifi-protect,1389,5,0.3599712023038157
coinbase/coinbase-pro-node,834,3,0.3597122302158274
kessler/node-regedit,278,1,0.3597122302158274
coinbase/gdax-node,834,3,0.3597122302158274
Autumn-one/a-calc-old,279,1,0.35842293906810035
gstroup/apimocker,279,1,0.35842293906810035
adcentury/react-mobile-picker,280,1,0.35714285714285715
sandulat/routes-gen,280,1,0.35714285714285715
TooTallNate/node-proxy-agent,282,1,0.3546099290780142
x64Bits/solid-icons,284,1,0.35211267605633806
angular-material-extensions/password-strength,285,1,0.3508771929824561
jonycheung/deadsimple-less-watch-compiler,285,1,0.3508771929824561
browserslist/update-db,286,1,0.34965034965034963
blockstack/ux,286,1,0.34965034965034963
LedgerHQ/ledgerjs,573,2,0.34904013961605584
oksktank/react-native-pure-chart,287,1,0.34843205574912894
SpellcraftAI/openai-streams,287,1,0.34843205574912894
ember-cli/ember-exam,287,1,0.34843205574912894
matter-labs/hardhat-zksync,288,1,0.3472222222222222
PrismarineJS/bedrock-protocol,288,1,0.3472222222222222
jprichardson/electron-window,290,1,0.3448275862068966
dmhendricks/file-icon-vectors,290,1,0.3448275862068966
imzbf/md-editor-rt,291,1,0.3436426116838488
iTwin/itwinjs-core,582,2,0.3436426116838488
zebzhao/Angular-QueryBuilder,291,1,0.3436426116838488
imodeljs/imodeljs,582,2,0.3436426116838488
epam/Indigo,291,1,0.3436426116838488
aws-azure-login/aws-azure-login,583,2,0.34305317324185247
Chia-Network/bls-signatures,292,1,0.3424657534246575
clutchski/coffeelint,1170,4,0.3418803418803419
SAP/ui5-webcomponents,1464,5,0.34153005464480873
hiro1107/nestjs-supabase-auth,293,1,0.3412969283276451
gamedig/node-gamedig,588,2,0.3401360544217687
react-component/tree,1187,4,0.33698399326032014
wix/DetoxRecorder,297,1,0.33670033670033667
FredrikOseberg/react-chatbot-kit,297,1,0.33670033670033667
giscus/giscus-component,298,1,0.33557046979865773
elderfo/react-native-storybook-loader,299,1,0.33444816053511706
formio/react-formio,299,1,0.33444816053511706
oxsecurity/megalinter,1806,6,0.33222591362126247
supabase/realtime-js,303,1,0.33003300330033003
stripe/stripe-js,606,2,0.33003300330033003
Agoric/agoric-sdk,303,1,0.33003300330033003
