package,github,n_downloads,n_prod_deps,n_dev_deps,stars,issues
eyeglass,linkedin/eyeglass,164088.0,12,30,741,302
gulp-bro,ngryman/gulp-bro,90006.0,6,14,122,86
@types/yar,DefinitelyTyped/DefinitelyTyped,31138.0,2,0,46776,66341
must,moll/js-must,1418941.0,5,3,333,77
@types/loadable__server,DefinitelyTyped/DefinitelyTyped,6535725.0,1,0,46776,66341
dynogels,clarkie/dynogels,414380.0,5,9,493,217
@esbuild/linux-arm,evanw/esbuild,86321046.0,0,0,36971,3662
node-red,node-red/node-red,1465297.0,12,0,18325,4555
destyle.css,nicolas-cusan/destyle.css,486412.0,0,0,774,23
csshake,elrumordelaluz/csshake,53596.0,0,4,4822,64
@tanker/http-utils,TankerHQ/sdk-js,186108.0,4,1,795,27
@types/throttle-debounce,DefinitelyTyped/DefinitelyTyped,17123555.0,0,0,46776,66341
@types/void-elements,DefinitelyTyped/DefinitelyTyped,260366.0,0,0,46776,66341
vue-hotel-datepicker,ZestfulNation/vue-hotel-datepicker,97780.0,4,19,821,332
@types/yui,DefinitelyTyped/DefinitelyTyped,30518.0,0,0,46776,66341
@nathanvda/cocoon,nathanvda/cocoon,867095.0,1,0,3079,629
@zendeskgarden/react-dropdowns,zendeskgarden/react-components,352491.0,12,4,1083,1744
potpack,mapbox/potpack,47114138.0,0,5,289,9
@graphcommerce/magento-graphql,graphcommerce-org/graphcommerce,77150.0,7,0,261,2206
@sanity/util,sanity-io/sanity,4767217.0,5,3,4843,5699
@nlpjs/connector,axa-group/nlp.js,50720.0,1,0,6032,1368
@types/mapbox__tile-cover,DefinitelyTyped/DefinitelyTyped,28379.0,1,0,46776,66341
@spryker-lerna/has-npm-version,lerna/lerna,47953.0,2,0,35267,3871
@vue/cli-init,vuejs/vue-cli,128888.0,2,0,29752,7290
@smui/data-table,hperrin/svelte-material-ui,330700.0,8,6,3236,651
@types/lerna__collect-updates,DefinitelyTyped/DefinitelyTyped,29498.0,4,0,46776,66341
@aws-sdk/client-mediaconnect,aws/aws-sdk-js-v3,135321.0,41,7,2801,5575
@web3-react/torus-connector,NoahZinsmeister/web3-react,198953.0,3,0,5330,791
grunt-csso,t32k/grunt-csso,137624.0,5,3,163,32
@bodiless/vital-meta,johnsonandjohnson/bodiless-js,41256.0,10,0,137,2060
@times-components/video-label,newsuk/times-components,54200.0,8,14,256,3799
@looksrare/sdk,LooksRare/looksrare-sdk,530333.0,1,19,100,104
@material/mwc-icon,material-components/material-components-web-components,2039272.0,2,0,8380,5360
@types/favico.js,DefinitelyTyped/DefinitelyTyped,242445.0,0,0,46776,66341
@unocss/preset-web-fonts,unocss/unocss,2329280.0,2,0,15114,3134
videojs-panorama,yanwsh/videojs-panorama,33731.0,5,22,478,176
@types/react-alert,DefinitelyTyped/DefinitelyTyped,597832.0,1,0,46776,66341
flightplan,pstadler/flightplan,43239.0,12,9,1814,183
@opentelemetry/instrumentation-long-task,open-telemetry/opentelemetry-js-contrib,52691.0,4,28,581,2000
@types/styled-system,DefinitelyTyped/DefinitelyTyped,26280296.0,1,0,46776,66341
@udecode/plate-reset-node,udecode/plate,3280967.0,7,1,7316,2428
angular-code-input,AlexMiniApps/angular-code-input,536656.0,3,0,164,111
react-excel-renderer,ashishd751/react-excel-renderer,345665.0,3,7,165,46
@types/openurl,DefinitelyTyped/DefinitelyTyped,184100.0,1,0,46776,66341
react-use-scrollspy,Purii/react-use-scrollspy,197540.0,2,14,319,446
@angular-mdc/theme,trimox/angular-mdc-web,65006.0,0,0,519,2282
@better-scroll/observe-image,ustbhuangyi/better-scroll,149570.0,1,0,16349,1354
@types/micromatch,DefinitelyTyped/DefinitelyTyped,38374776.0,1,0,46776,66341
@types/passport-google-id-token,DefinitelyTyped/DefinitelyTyped,70306.0,1,0,46776,66341
@nrwl/detox,nrwl/nx,1864658.0,1,0,21564,21250
@azure/arm-cdn,Azure/azure-sdk-for-js,90253.0,7,17,1903,28860
@vuepress/plugin-theme-data,vuepress/vuepress-next,757452.0,3,0,2037,1008
@microsoft/mgt-teams-msal2-provider,microsoftgraph/microsoft-graph-toolkit,228555.0,4,0,885,3069
@nxpm/cli,nxpm/stack,30927.0,4,0,107,157
easy-autocomplete,pawelczak/EasyAutocomplete,626121.0,1,15,729,482
to-case,ianstormtaylor/to-case,1131273.0,11,1,122,7
@libp2p/interface,libp2p/js-libp2p,79216.0,6,1,2200,2406
react-native-infinite-pager,computerjazz/react-native-infinite-pager,29584.0,3,15,130,28
@xviz/io,uber/xviz,337512.0,8,0,982,732
@webex/plugin-phone,webex/webex-js-sdk,92448.0,18,0,164,3435
@redocly/cli,Redocly/redocly-cli,3512340.0,18,7,776,1460
@awesome-cordova-plugins/speech-recognition,danielsogl/awesome-cordova-plugins,21436.0,3,0,2360,4704
@rpldy/chunked-sender,rpldy/react-uploady,50091.0,3,3,1007,564
watchlist,lukeed/watchlist,450999.0,1,3,261,23
flush-promises,kentor/flush-promises,13585176.0,0,2,188,30
pbkdf2-compat,crypto-browserify/pbkdf2-compat,5806906.0,1,5,185,116
tencentcloud-sdk-nodejs-nlp,tencentcloud/tencentcloud-sdk-nodejs,82061.0,1,10,345,147
@dcl/marketplace-site,decentraland/marketplace,112612.0,0,0,1090,2170
aws-kinesis-agg,awslabs/kinesis-aggregation,946042.0,5,9,374,181
react-virtualized-auto-sizer,bvaughn/react-virtualized-auto-sizer,43112807.0,2,16,565,87
@pnpm/prepare-package,pnpm/pnpm,175838.0,7,6,27276,6791
@react-types/combobox,adobe/react-spectrum,12538799.0,2,0,11345,5392
@svgr/babel-plugin-replace-jsx-attribute-value,gregberge/svgr,332378746.0,1,0,10241,905
jest-electron,hustcc/jest-electron,69827.0,11,9,154,56
vue-ripple-directive,PygmySlowLoris/vue-ripple-directive,390206.0,1,11,285,36
angular-pageslide-directive,danielepiccone/ng-pageslide,67097.0,1,15,452,178
@types/tape,DefinitelyTyped/DefinitelyTyped,3202613.0,2,0,46776,66341
@types/backbone-relational,DefinitelyTyped/DefinitelyTyped,128001.0,2,0,46776,66341
@types/lodash.omit,DefinitelyTyped/DefinitelyTyped,11257580.0,1,0,46776,66341
hash-object,sindresorhus/hash-object,97510.0,4,4,130,5
piral-preact,smapiot/piral,64046.0,0,2,1600,675
platformatic,platformatic/platformatic,24477.0,27,8,1357,2261
react-native-ios-context-menu,dominicstop/react-native-ios-context-menu,507964.0,5,8,470,97
@pixiv/three-vrm-materials-v0compat,pixiv/three-vrm,61329.0,4,2,1098,1324
@cosmjs/ledger-amino,CosmWasm/cosmjs,192298.0,7,32,592,1564
react-native-mixpanel,davodesign84/react-native-mixpanel,289761.0,0,0,454,276
babel-register,babel/babel,109498369.0,8,1,42821,15604
@apollo/client,apollographql/apollo-client,136677133.0,19,76,19170,11180
jssocials,tabalinas/jssocials,100521.0,0,11,464,245
@aws-cdk/aws-cognito,aws/aws-cdk,24146176.0,15,8,11030,28455
@types/react-slider,DefinitelyTyped/DefinitelyTyped,2585479.0,1,0,46776,66341
@yzfe/vue-svgicon,MMF-FE/svgicon,64788.0,4,17,920,227
observable-membrane,salesforce/observable-membrane,208399.0,0,18,397,102
parse-duration,jkroso/parse-duration,17629230.0,0,1,235,52
vite-plugin-qiankun,tengmaoqing/vite-plugin-qiankun,63414.0,3,13,423,73
request-ip,pbojinov/request-ip,45257389.0,0,11,785,91
extract-react-intl-messages,akameco/extract-react-intl-messages,903067.0,15,29,182,124
async-each,paulmillr/async-each,583669724.0,0,0,105,17
interact.js,taye/interact.js,280094.0,0,0,11955,1025
@vates/toggle-scripts,vatesfr/xen-orchestra,23563.0,0,0,686,7472
@types/google-cloud__kms,DefinitelyTyped/DefinitelyTyped,639508.0,2,0,46776,66341
@backstage/plugin-auth-backend,backstage/backstage,1488665.0,53,15,25846,22385
homebridge-xiaomi-roborock-vacuum,homebridge-xiaomi-roborock-vacuum/homebridge-xiaomi-roborock-vacuum,27200.0,8,12,360,882
pod-install,expo/expo,2780764.0,0,6,28137,26977
@skyscanner/popper.js,FezVrasta/popper.js,183656.0,0,6,28179,2430
@pixi/filter-noise,pixijs/pixijs,4697777.0,1,0,42131,9511
@bugsnag/plugin-express,bugsnag/bugsnag-js,2944868.0,2,2,820,2093
@semantic-release/exec,semantic-release/exec,9436772.0,7,6,120,398
@types/are-we-there-yet,DefinitelyTyped/DefinitelyTyped,1120091.0,1,0,46776,66341
@magidoc/plugin-svelte-marked,magidoc-org/magidoc,85931.0,3,10,211,330
@types/cross-zip,DefinitelyTyped/DefinitelyTyped,1054708.0,0,0,46776,66341
prisma-redis-middleware,Asjas/prisma-redis-middleware,188979.0,2,17,349,650
insomnia-plugin-request,Kong/insomnia,29693.0,2,0,32697,6416
@rushstack/heft-web-rig,microsoft/rushstack,92517.0,29,1,5539,4552
allure-js-commons,allure-framework/allure-js,27829155.0,2,25,198,900
gulp-filter,sindresorhus/gulp-filter,7881402.0,6,5,316,97
@nativescript/geolocation,NativeScript/plugins,80165.0,1,0,181,571
react-native-picker,beefe/react-native-picker,158364.0,0,0,1740,441
react-anime,plus1tv/react-anime,225510.0,3,23,1525,96
react-timeseries-charts,esnet/react-timeseries-charts,246238.0,25,28,848,509
@types/gapi.client.drive-v3,DefinitelyTyped/DefinitelyTyped,40667.0,1,0,46776,66341
xunit-viewer,lukejpreston/xunit-viewer,2433687.0,15,30,179,154
auto-bind,sindresorhus/auto-bind,121943534.0,0,4,460,29
ssh2-streams,mscdex/ssh2-streams,46937408.0,3,0,203,186
draft-js-markdown-plugin,withspectrum/draft-js-markdown-plugin,27715.0,9,57,137,202
luxon,moment/luxon,261561304.0,0,20,14754,1543
@wasm-tool/rollup-plugin-rust,wasm-tool/rollup-plugin-rust,37385.0,8,4,204,45
@vonage/numbers,Vonage/vonage-node-sdk,362943.0,5,1,370,922
immutadot,zenika-open-source/immutadot,75772.0,0,9,177,392
dexie-observable,dexie/Dexie.js,264055.0,1,6,10556,1848
ui5-tooling-transpile,ui5-community/ui5-ecosystem-showcase,47722.0,9,1,181,972
@vscode/sync-api-service,microsoft/vscode-wasm,67786.0,3,2,316,154
@nuxtjs/apollo,nuxt-community/apollo-module,1226872.0,12,7,919,571
strapi-hook-mongoose,strapi/strapi,94695.0,6,0,59316,18696
@nextui-org/dom-utils,nextui-org/nextui,30244.0,1,2,18670,2023
string-width,sindresorhus/string-width,5161735641.0,3,3,445,55
@tds/core-text-button,telus/tds-core,56691.0,8,0,100,1876
vue-reactive-refs,posva/vue-reactive-refs,90620.0,0,15,160,242
@craco/craco,dilanx/craco,25377968.0,8,14,7338,523
typescript-express-starter,ljlm0402/typescript-express-starter,21808.0,6,0,2514,239
@pandacss/generator,chakra-ui/panda,183129.0,11,1,4542,2002
@material/mwc-formfield,material-components/material-components-web-components,701168.0,4,6,8380,5360
babel-relay-plugin,facebook/relay,67034.0,1,16,18126,4616
cordova-plugin-advanced-http,silkimen/cordova-plugin-advanced-http,1080756.0,0,7,389,524
smb2,bchelli/node-smb2,407269.0,1,0,119,53
@putout/plugin-convert-index-of-to-includes,coderaiser/putout,387519.0,1,6,642,199
csstype,frenic/csstype,1332866504.0,0,28,1665,192
loki,oblador/loki,2167197.0,9,0,1719,482
react-lazy-load,loktar00/react-lazy-load,6919297.0,2,19,977,169
rollup-plugin-livereload,thgh/rollup-plugin-livereload,2980511.0,1,4,158,91
@react-pdf/unicode-properties,diegomura/react-pdf,5689353.0,1,1,13973,2461
@girs/node-gtk,gjsify/ts-for-gir,23552.0,3,1,211,151
@vssue/api-gitea-v1,meteorlxy/vssue,30177.0,2,0,755,171
apollo-codegen-typescript-legacy,apollographql/apollo-cli,749159.0,1,0,391,1844
@tkey/share-serialization,tkey/tkey,55789.0,4,0,158,264
@aws-sdk/client-omics,aws/aws-sdk-js-v3,75208.0,43,8,2801,5575
@react-aria/label,adobe/react-spectrum,17090085.0,4,0,11345,5392
@types/google-images,DefinitelyTyped/DefinitelyTyped,38387.0,0,0,46776,66341
@rollup/plugin-yaml,rollup/plugins,1944284.0,4,4,3482,1625
typeface-exo,KyleAMathews/typefaces,404711.0,0,0,2598,232
@types/knuth-shuffle,DefinitelyTyped/DefinitelyTyped,28921.0,0,0,46776,66341
@comunica/actor-rdf-parse-jsonld,comunica/comunica,239153.0,8,0,405,1255
ember-elsewhere,ef4/ember-elsewhere,189097.0,3,47,184,59
@types/testing-library__jasmine-dom,DefinitelyTyped/DefinitelyTyped,951652.0,1,0,46776,66341
react-compat-moveable,daybrush/moveable,1046801.0,14,10,9389,1075
meting,metowolf/MetingJS,88701.0,0,6,1018,90
gpu.js,gpujs/gpu.js,532729.0,5,18,14902,827
aws-mqtt,kmamykin/aws-mqtt,46749.0,2,10,106,78
gulp-babel-minify,babel/minify,148870.0,5,0,4377,1046
@onica/runway,onicagroup/runway,107047.0,1,2,148,2206
jetifier,mikehardy/jetifier,33195027.0,0,1,792,72
@ffmpeg/core-st,ffmpegwasm/FFmpeg,133420.0,0,0,335,23
@tarojs/taro,NervJS/taro,438774.0,3,2,34506,14603
@bumbag/emotion-cache,emotion-js/emotion,27871.0,5,2,17101,3019
idb-wrapper,jensarps/IDBWrapper,3937334.0,0,15,668,96
@tinacms/metrics,tinacms/tinacms,459030.0,2,6,10906,4044
@interactjs/modifiers,taye/interact.js,2577733.0,4,0,11955,1025
store2,nbubna/store,230570533.0,0,14,1868,124
suncalc,mourner/suncalc,1302969.0,0,3,2976,172
@comunica/actor-query-operation-update-add-rewrite,comunica/comunica,145194.0,5,0,405,1255
@fluentui/react-divider,microsoft/fluentui,979287.0,10,5,17496,30035
@alilc/lowcode-editor-skeleton,alibaba/lowcode-engine,57303.0,8,5,13729,2950
@melt-ui/svelte,melt-ui/melt-ui,46474.0,7,73,2739,1068
@types/survicate__react-native-survicate,DefinitelyTyped/DefinitelyTyped,73010.0,0,0,46776,66341
gatsby-remark-images-contentful,gatsbyjs/gatsby,224908.0,10,4,54975,36115
@automattic/webpack-inline-constant-exports-plugin,Automattic/wp-calypso,129430.0,1,2,12334,87258
@zag-js/tabs,chakra-ui/zag,245291.0,8,1,3551,1260
sass-material-colors,minusfive/sass-material-colors,133383.0,0,0,133,2
json-rpc-engine,MetaMask/json-rpc-engine,29263443.0,2,13,158,170
@jscpd/html-reporter,kucherenko/jscpd,3104079.0,4,4,4450,626
onnxjs,Microsoft/onnxjs,51583.0,2,45,1723,319
@fontsource/noto-serif-sc,fontsource/font-files,23528.0,0,0,110,62
heti,sivan/heti,217230.0,1,9,5846,116
@formily/validator,alibaba/formily,500040.0,1,0,10615,2642
vue-video-player,surmon-china/videojs-player,665781.0,4,0,5062,459
create-turbo,vercel/turbo,137160.0,8,15,24500,6703
@swc/core-linux-arm64-musl,swc-project/swc,48134216.0,0,0,29708,8145
@types/react-window,DefinitelyTyped/DefinitelyTyped,47435746.0,1,0,46776,66341
iobroker.admin,ioBroker/ioBroker.admin,471216.0,20,1,270,2389
@thisisagile/easy-mongo,thisisagile/easy,97393.0,2,1,105,493
@nivo/heatmap,plouc/nivo,1089635.0,11,0,12496,2372
webm-muxer,Vanilagy/webm-muxer,26976.0,2,6,147,33
@compiled/codemods,atlassian-labs/compiled,104824.0,3,1,1948,1633
@types/redux-localstorage,DefinitelyTyped/DefinitelyTyped,737309.0,1,0,46776,66341
@rmwc/icon-button,rmwc/rmwc,388236.0,7,0,1640,1358
rx-dom,Reactive-Extensions/RxJS-DOM,89824.0,1,11,437,139
@yzfe/vue3-svgicon,MMF-FE/svgicon,54877.0,2,10,920,227
@smithy/eventstream-serde-config-resolver,awslabs/smithy-typescript,22854992.0,2,5,184,1207
@auth/mongodb-adapter,nextauthjs/next-auth,21531.0,2,1,21546,6427
@aws-amplify/amplify-cli-core,aws-amplify/amplify-cli,213556.0,30,15,2781,12172
@webiny/api-apw-scheduler-so-ddb,webiny/webiny-js,26327.0,6,16,7056,3895
angular-touch,angular/angular.js,4071753.0,0,0,58957,17038
@toast-ui/chart,nhn/tui.chart,107388.0,0,0,5295,747
rsuite-table,rsuite/rsuite-table,2518398.0,10,86,699,471
@turf/boolean-overlap,Turfjs/turf,13748256.0,6,11,8698,2557
is-what,mesqueeb/is-what,207864106.0,0,15,106,86
react-swipeable-views-react-18-fix,oliviertassinari/react-swipeable-views,75642.0,4,1,4431,682
lodash.overevery,lodash/lodash,107920.0,0,0,58625,5615
node-gettext,alexanderwallin/node-gettext,6789417.0,1,8,188,70
@types/selfsigned,DefinitelyTyped/DefinitelyTyped,567677.0,0,0,46776,66341
typescript-json,samchon/typia,124922.0,2,0,3923,993
@types/streamtest,DefinitelyTyped/DefinitelyTyped,76967.0,1,0,46776,66341
@azure-tools/azcopy-win32,Azure/azure-storage-azcopy,27910.0,0,12,572,2604
@lingui/vite-plugin,lingui/js-lingui,116627.0,3,5,4147,1797
@types/karma-rollup-preprocessor,DefinitelyTyped/DefinitelyTyped,70219.0,2,0,46776,66341
aoi.js,AkaruiDevelopment/aoi.js,5263104.0,5,5,298,547
@types/zengin-code,DefinitelyTyped/DefinitelyTyped,63716.0,0,0,46776,66341
netlify-cms-media-library-uploadcare,netlify/netlify-cms,226411.0,2,0,17430,6980
@tarojs/plugin-sass,NervJS/taro,26893.0,5,5,34506,14603
@types/os-tmpdir,DefinitelyTyped/DefinitelyTyped,900615.0,0,0,46776,66341
react-widgets-globalize,jquense/react-widgets,64135.0,5,5,2325,1146
js-tiktoken,dqbd/tiktoken,2033422.0,1,1,548,95
es6-error,bjyoungblood/es6-error,231945980.0,0,9,215,43
@aws-amplify/ui-react-geo,aws-amplify/amplify-ui,65170.0,10,1,755,4892
@types/dynogels,DefinitelyTyped/DefinitelyTyped,112834.0,3,0,46776,66341
@middy/http-response-serializer,middyjs/middy,1190307.0,1,1,3606,1188
@opentelemetry/instrumentation-lru-memoizer,open-telemetry/opentelemetry-js-contrib,9061191.0,2,13,581,2000
@graphql-yoga/render-graphiql,dotansimha/graphql-yoga,2067711.0,1,0,7965,2999
@types/jquery.qrcode,DefinitelyTyped/DefinitelyTyped,23660.0,1,0,46776,66341
@wordpress/keyboard-shortcuts,WordPress/gutenberg,1484653.0,6,0,9755,59167
@blockly/field-grid-dropdown,google/blockly-samples,29601.0,1,4,782,2227
@ngrx/router-store,ngrx/platform,15400488.0,6,0,7855,4129
@nrwl/react-native,nrwl/nx,1427901.0,1,0,21564,21250
backgrid,cloudflare/backgrid,379889.0,2,18,2016,677
eslint-plugin-es-beautifier,dai-shi/es-beautifier,73341.0,1,0,121,21
theme-vitesse,antfu/vscode-theme-vitesse,100901.0,0,14,493,33
@volar/vue-code-gen,johnsoncodehk/volar,4591829.0,5,1,5230,3479
@storybook/addons,storybookjs/storybook,436971686.0,3,0,82328,24197
hubot,hubotio/hubot,2663946.0,4,1,16516,1654
@promster/server,tdeekens/promster,331289.0,3,1,208,1193
react-shepherd,shipshapecode/react-shepherd,762480.0,4,52,608,813
ngx-easy-table,ssuperczynski/ngx-easy-table,98630.0,6,0,356,427
@types/storybook__addon-knobs,storybooks/storybook,1454303.0,1,0,82324,24191
electron-vite,alex8088/electron-vite,116644.0,8,18,2248,329
@electron-forge/maker-pkg,electron/forge,28860.0,3,5,6152,3518
flow-copy-source,Macil/flow-copy-source,2377526.0,5,2,173,52
@smithy/types,awslabs/smithy-typescript,98946323.0,1,5,184,1207
apollo-link,apollographql/apollo-link,100373464.0,5,11,1436,1323
@tsconfig/cypress,tsconfig/bases,248449.0,0,0,5353,247
@cypress/code-coverage,cypress-io/code-coverage,21577432.0,14,19,411,793
@vaadin/select,vaadin/web-components,665170.0,13,5,385,6429
@asteasolutions/zod-to-openapi,asteasolutions/zod-to-openapi,1870933.0,2,7,636,201
react-tweet,vercel-labs/react-tweet,72544.0,6,8,1139,164
@codeshift/validator,CodeshiftCommunity/CodeshiftCommunity,45889.0,7,1,120,230
hammer-timejs,hammerjs/hammer-time,207569.0,0,10,100,37
@fluentui-react-native/focus-zone,microsoft/fluentui-react-native,39349.0,6,6,1146,3477
protobufjs-old-fixed-webpack,dcodeIO/ProtoBuf.js,59843.0,2,4,9564,1971
gatsby-remark-autolink-headers,gatsbyjs/gatsby,1713863.0,8,5,54975,36115
recoilize,open-source-labs/Recoilize,408090.0,3,1,594,188
esri,npm/security-holder,47459.0,0,0,148,13
lodash.gte,lodash/lodash,22258.0,0,0,58625,5615
bpk-component-checkbox,Skyscanner/backpack,23308.0,6,2,482,3258
@taplo/cli,tamasfe/taplo,405781.0,0,14,1104,573
awslint,aws/aws-cdk,57947.0,6,14,11030,28455
human-id,RienNeVaPlus/human-id,14943457.0,0,1,160,8
@polkadot/util,polkadot-js/common,5158762.0,7,0,248,1903
@udecode/plate-core,udecode/plate,5320565.0,22,0,7316,2428
wechat-crypto,node-webot/wechat-crypto,94633.0,0,7,114,2
@commercetools-uikit/grid,commercetools/ui-kit,286669.0,6,1,144,2733
@rushstack/rush-azure-storage-build-cache-plugin,microsoft/rushstack,12556869.0,5,3,5539,4552
@types/syntax-error,DefinitelyTyped/DefinitelyTyped,117928.0,1,0,46776,66341
picomodal,Nycto/PicoModal,7039269.0,0,12,237,27
@types/koa-cookie,DefinitelyTyped/DefinitelyTyped,1128623.0,1,0,46776,66341
lodash-joins,mtraynham/lodash-joins,57088.0,1,38,126,57
arweave,ArweaveTeam/arweave-js,1994408.0,4,24,563,223
@epam/uui-components,epam/UUI,115895.0,26,0,155,2043
postcss-normalize-timing-functions,cssnano/cssnano,520736328.0,2,1,4599,1567
facebook-node-sdk,amachang/facebook-node-sdk,26874.0,0,2,231,35
@types/uid-safe,DefinitelyTyped/DefinitelyTyped,1740800.0,0,0,46776,66341
size-plugin,googlechromelabs/size-plugin,1054752.0,9,11,1674,52
piral-containers,smapiot/piral,78396.0,0,3,1600,675
json-server-auth,jeremyben/json-server-auth,119253.0,4,18,307,52
@sveltejs/adapter-netlify,sveltejs/kit,1469252.0,4,11,17415,10573
@opentelemetry/instrumentation-grpc,open-telemetry/opentelemetry-js,23057993.0,3,24,2401,4217
gulp-angular-templatecache,miickel/gulp-angular-templatecache,2369960.0,8,2,524,180
monocle-ts,gcanti/monocle-ts,17441882.0,1,0,1018,190
react-event-listener,oliviertassinari/react-event-listener,30091734.0,4,37,358,101
levelgraph,levelgraph/levelgraph,67688.0,8,18,1442,197
botframework-schema,Microsoft/botbuilder-js,4812810.0,3,0,642,4591
sentence-case,blakeembrey/change-case,267047525.0,1,0,2132,334
@types/react-swipeable-views,DefinitelyTyped/DefinitelyTyped,10411375.0,1,0,46776,66341
recheck-windows-x64,makenowjust-labs/recheck,184475.0,0,0,201,1203
@uiw/codemirror-theme-duotone,uiwjs/react-codemirror,148614.0,1,0,1335,640
react-contexify,fkhadra/react-contexify,1476264.0,3,13,1078,251
@vee-validate/yup,logaretm/vee-validate,68750.0,3,0,10474,4198
@simple-dom/parser,ember-fastboot/simple-dom,922314.0,1,7,209,89
branch-sdk,BranchMetrics/web-branch-deep-linking-attribution,1472045.0,0,17,285,1008
@graphql-mesh/transform-hive,ardatan/graphql-mesh,70671.0,8,0,3142,6207
@aws-sdk/client-auto-scaling-plans,aws/aws-sdk-js-v3,100876.0,40,7,2801,5575
@aws-sdk/client-sso,aws/aws-sdk-js-v3,373259589.0,38,7,2801,5575
@equinor/eds-utils,equinor/design-system,237051.0,5,27,113,3304
@firebase/firestore,firebase/firebase-js-sdk,70453716.0,9,20,4695,7743
@malagu/cli-service,cellbang/malagu,41924.0,27,4,674,197
enzyme-to-json,adriantoine/enzyme-to-json,58045794.0,4,25,953,195
cross-zip,feross/cross-zip,4962725.0,0,2,122,36
npminstall,cnpm/npminstall,1788456.0,30,8,491,475
lodash.bindall,lodash/lodash,270081.0,0,0,58625,5615
lodash._basecompareascending,lodash/lodash,484463.0,0,0,58625,5615
@web3auth/wallet-connect-v1-adapter,Web3Auth/Web3Auth,452832.0,6,2,394,963
xterm-addon-serialize,xtermjs/xterm.js,458340.0,1,0,16421,4839
leaflet-wfst,Flexberry/Leaflet-WFST,21537.0,0,19,151,114
crel,KoryNunn/crel,282403.0,0,7,370,58
canvacord,neplextech/canvacord,1054404.0,7,10,241,193
electron-builder-core,electron-userland/electron-builder,26304.0,0,0,13268,8009
@spectrum-css/stepper,adobe/spectrum-css,175903.0,5,1,1145,2571
@workday/canvas-kit-css-core,Workday/canvas-kit,183914.0,2,0,286,2600
hapi,hapijs/hapi,3908026.0,19,6,14462,4463
@bitgo-beta/sdk-coin-xtz,BitGo/BitGoJS,267604.0,11,2,341,4336
lodash.toupper,lodash/lodash,1415827.0,0,0,58625,5615
recursive-readdir,jergason/recursive-readdir,303646075.0,1,1,341,94
libnpmteam,npm/cli,31487184.0,2,4,7902,6875
@defencedigital/fonts,defencedigital/mod-uk-design-system,22911.0,0,0,101,3652
mdx.macro,frontarm/mdx-util,40012.0,10,5,711,100
pouchdb-promise,pouchdb/pouchdb,1603144.0,1,0,16219,8837
remix-routes,yesmeck/remix-routes,72765.0,6,11,337,92
electron-osx-sign,electron-userland/electron-osx-sign,14822356.0,6,10,540,304
babyparse,Rich-Harris/BabyParse,2827111.0,0,0,258,12
create-react-native-library,callstack/react-native-builder-bob,46034.0,10,12,2578,421
ng2-search-filter,solodynamo/ng2-search-filter,1520266.0,0,38,149,85
@ngx-formly/ng-zorro-antd,ngx-formly/ngx-formly,22886.0,3,0,2689,3860
@definitelytyped/typescript-versions,microsoft/DefinitelyTyped-tools,2009951.0,0,0,323,973
@fluidframework/azure-local-service,microsoft/FluidFramework,124777.0,1,12,4607,20009
@react-financial-charts/utils,reactivemarkets/react-financial-charts,100215.0,3,0,1093,620
aws-jwt-verify,awslabs/aws-jwt-verify,4496904.0,0,13,559,156
node-metainspector,gabceb/node-metainspector,24044.0,5,5,129,47
@ampproject/toolbox-cache-url,ampproject/amp-toolbox,207996.0,2,0,450,1351
wolfy87-eventemitter,Olical/EventEmitter,11371404.0,0,6,3123,157
react-native-health,agencyenterprise/react-native-healthkit,327160.0,2,1,725,336
@teambit/react.ui.docs.apply-providers,teambit/bit,33032.0,6,7,17437,8489
conseiljs,Cryptonomic/ConseilJS,46390.0,7,26,110,417
ftx-api,tiagosiebler/ftx-api,78498.0,3,11,124,101
umzug,sequelize/umzug,45987966.0,5,35,1938,591
@opensumi/ide-core-common,opensumi/core,266197.0,3,1,2686,3222
eslint-config-exponent,exponentjs/eslint-config-exponent,24460.0,5,0,110,22
@instructure/ui-editable,instructure/instructure-ui,165928.0,14,5,426,1463
@commercetools-uikit/async-select-input,commercetools/ui-kit,241300.0,18,3,144,2733
ngx-facebook,zyra/ngx-facebook,247111.0,1,0,208,170
vue-headroom,dalphyx/vue-headroom,91549.0,1,9,128,56
clientjs,jackspirou/clientjs,932468.0,4,23,1945,161
@ckeditor/ckeditor5-vue,ckeditor/ckeditor5-vue,1108437.0,0,39,332,269
@types/react-gallery-carousel,DefinitelyTyped/DefinitelyTyped,27888.0,1,0,46776,66341
@backstage/plugin-catalog-backend-module-github,backstage/backstage,664764.0,19,5,25846,22385
@keyv/mysql,jaredwray/keyv,24567.0,1,5,2450,1001
@polkadot/app-explorer,polkadot-js/apps,33236.0,2,0,1700,10291
webgl-plot,danchitnis/webgl-plot,122037.0,0,9,490,80
milliparsec,talentlessguy/parsec,64071.0,0,10,134,21
@nx/rollup,nrwl/nx,510137.0,19,0,21564,21250
@putout/plugin-remove-unused-variables,coderaiser/putout,405081.0,1,10,642,199
@budibase/nano,apache/couchdb-nano,50793.0,6,5,623,340
@auto-canary/upload-assets,intuit/auto,78342.0,8,1,2170,2384
matomo-tracker,matomo-org/matomo-nodejs-tracker,764704.0,0,11,117,76
aspnet-client-validation,haacked/aspnet-client-validation,43132.0,0,4,198,101
@material/banner,material-components/material-components-web,13312887.0,12,0,17050,7969
