package,github,n_downloads,n_prod_deps,n_dev_deps,stars,issues
lmdb-linux-arm64,DoctorEvidence/lmdb-js,1187179.0,0,0,438,236
@smui/banner,hperrin/svelte-material-ui,247954.0,3,6,3236,651
graphql-to-sparql,rubensworks/graphql-to-sparql.js,154868.0,6,10,110,63
mochawesome-report,adamgruber/mochawesome-report,22619.0,18,45,227,219
@ckeditor/ckeditor5-alignment,ckeditor/ckeditor5,3281856.0,1,0,8048,15968
vue-input-facade,RonaldJerez/vue-input-facade,367326.0,2,41,179,88
angulartics2,angulartics/angulartics2,2361956.0,4,0,1014,478
@storybook/native-types,storybookjs/native,28160.0,0,0,176,93
apollo-link-batch,apollographql/apollo-link,2936269.0,2,12,1436,1323
@volar/typescript-faster,johnsoncodehk/volar,3869172.0,1,1,5230,3479
@fluentui-react-native/experimental-avatar,microsoft/fluentui-react-native,26306.0,4,5,1146,3477
aws-api-gateway-client,kndt84/aws-api-gateway-client,746359.0,6,8,128,134
winwheel,zarocknz/javascript-winwheel,34043.0,0,0,510,127
zoid,krakenjs/zoid,1390170.0,7,4,1974,445
@types/swfobject,DefinitelyTyped/DefinitelyTyped,106023.0,0,0,46776,66341
umi-plugin-dll,umijs/umi,105304.0,2,0,14793,10468
lodash.sorteduniqby,lodash/lodash,106404.0,0,0,58625,5615
victory-tooltip,FormidableLabs/victory,10356876.0,3,0,10744,2717
@umijs/plugin-model,umijs/plugins,632908.0,2,0,338,963
@backstage/plugin-devtools,backstage/backstage,30179.0,16,4,25846,22385
effector-forms,aanation/effector-forms,56649.0,2,36,105,30
node-opcua-samples,node-opcua/node-opcua,22338.0,24,0,1404,1350
exif,gomfunkel/node-exif,534416.0,1,1,580,87
@types/crossroads,DefinitelyTyped/DefinitelyTyped,86284.0,1,0,46776,66341
@types/lodash.includes,DefinitelyTyped/DefinitelyTyped,2146197.0,1,0,46776,66341
@previewjs/plugin-vue2,fwouts/previewjs,86006.0,13,12,1708,2478
@magento/upward-security-headers,magento/pwa-studio,106120.0,3,0,1037,4211
@epam/assets,epam/UUI,127512.0,0,0,155,2043
@types/keymaster,DefinitelyTyped/DefinitelyTyped,583425.0,0,0,46776,66341
@antv/gl-matrix,toji/gl-matrix,1742887.0,0,11,5205,463
cron,kelektiv/node-cron,87273273.0,2,26,8152,860
@directus/storage-driver-gcs,directus/directus,262006.0,3,6,25023,15434
draft-js-import-markdown,sstur/draft-js-utils,3288707.0,4,0,883,265
@types/extract-text-webpack-plugin,DefinitelyTyped/DefinitelyTyped,947774.0,1,0,46776,66341
@glazed/devtools,ceramicstudio/js-glaze,26528.0,11,7,126,147
zapier-platform-schema,zapier/zapier-platform,592103.0,2,4,297,741
@fluidframework/azure-client,microsoft/FluidFramework,129268.0,14,27,4607,20009
linkedom,WebReflection/linkedom,2644015.0,5,8,1417,260
@vanilla-extract/dynamic,vanilla-extract-css/vanilla-extract,6100497.0,1,1,9173,906
@storybook/ember,storybookjs/storybook,820043.0,15,3,82328,24197
@wdio/cucumber-framework,webdriverio/webdriverio,5687731.0,10,1,8715,11895
@snowplow/browser-plugin-form-tracking,snowplow/snowplow-javascript-tracker,1563967.0,4,19,532,1292
textr,shuvalov-anton/textr,410548.0,0,6,180,26
@pothos/plugin-simple-objects,hayes/pothos,575249.0,2,4,2199,981
@martin_hotell/rex-tils,Hotell/rex-tils,119119.0,3,0,252,33
jsmediatags,aadsm/jsmediatags,72859.0,1,17,724,181
fomantic-ui,fomantic/Fomantic-UI,643300.0,41,11,3450,2691
babel-plugin-inline-import,Quadric/babel-plugin-inline-import,1972828.0,1,9,245,44
rehype-raw,rehypejs/rehype-raw,25599245.0,3,13,110,31
graphql-scalars,Urigo/graphql-scalars,23241053.0,2,0,1829,2256
@testing-library/cypress,kentcdodds/cypress-testing-library,49209706.0,3,4,1781,274
ng-packager,ng-packagr/ng-packagr,48486.0,0,0,1835,2805
@api-platform/admin,api-platform/admin,179223.0,9,31,463,536
@libp2p/bootstrap,libp2p/js-libp2p,334668.0,4,4,2200,2406
tencentcloud-sdk-nodejs-iottid,tencentcloud/tencentcloud-sdk-nodejs,82218.0,1,10,345,147
angular-instantsearch,algolia/angular-instantsearch,350758.0,9,0,258,982
react-social,olahol/react-social,118176.0,3,7,177,66
dnd-core,react-dnd/react-dnd,91145677.0,3,10,20341,3618
remark-lint-fenced-code-flag,remarkjs/remark-lint,2082783.0,6,0,900,309
@react-hook/throttle,jaredLunde/react-hook,7250627.0,2,19,1373,302
@aws-cdk/aws-iotevents,aws/aws-cdk,443176.0,6,7,11030,28455
remix-auth-socials,TheRealFlyingCoder/remix-auth-socials,94604.0,8,2,112,21
oas-resolver-browser,Mermade/oas-kit,1706387.0,6,0,680,650
@ephox/sand,tinymce/tinymce,194687.0,1,0,14141,9244
formdata-node,octet-stream/form-data,88027752.0,0,25,133,78
yuv-canvas,brion/yuv-canvas,139094.0,0,9,267,38
react-interactive,rafgraph/react-interactive,732725.0,3,6,164,20
mathjax-full,mathjax/Mathjax-src,3163121.0,4,12,1931,1035
@cspell/dict-gaming-terms,streetsidesoftware/cspell-dicts,4375987.0,0,0,200,3021
@sendgrid/mail,sendgrid/sendgrid-nodejs,49768418.0,2,0,2936,522
@spectrum-web-components/base,adobe/spectrum-web-components,233188.0,1,0,1141,4122
@smithy/middleware-apply-body-checksum,awslabs/smithy-typescript,595557.0,4,6,184,1207
@modern-js/packages-generator,web-infra-dev/modern.js,421813.0,1,11,4087,5407
@capawesome/capacitor-badge,capawesome-team/capacitor-plugins,242611.0,1,14,136,141
mappy-breakpoints,zellwk/mappy-breakpoints,115843.0,0,4,384,30
@types/intrinsic-scale,DefinitelyTyped/DefinitelyTyped,34749.0,0,0,46776,66341
@azure/arm-eventhub,Azure/azure-sdk-for-js,402491.0,7,19,1903,28860
@itwin/presentation-frontend,iTwin/itwinjs-core,247807.0,8,37,561,5498
immutability-helper,kolodny/immutability-helper,31467689.0,0,8,5156,178
@storybook/store,storybookjs/storybook,226743661.0,2,0,82328,24197
qunit,qunitjs/qunit,10418895.0,3,36,4007,1733
@azure/data-tables,Azure/azure-sdk-for-js,2024252.0,9,33,1903,28860
autod,node-modules/autod,750309.0,15,6,205,56
@posva/vuefire-core,vuejs/vuefire,273942.0,0,1,3783,1377
@pinia-plugin-persistedstate/nuxt,prazdevs/pinia-plugin-persistedstate,393422.0,4,6,1708,286
netlify-cms-backend-azure,netlify/netlify-cms,685313.0,11,0,17430,6980
@web/rollup-plugin-import-meta-assets,modernweb-dev/web,275849.0,5,0,2077,2593
@smithy/smithy-client,awslabs/smithy-typescript,38927957.0,6,6,184,1207
rucksack-css,simplaio/rucksack,473023.0,20,3,1849,72
bpmn-moddle,bpmn-io/bpmn-moddle,2589878.0,3,15,420,114
@ceramicnetwork/blockchain-utils-validation,ceramicnetwork/js-ceramic,42997.0,14,13,412,3174
ghost,TryGhost/Ghost,468421.0,168,28,45367,19756
@draft-js-plugins/side-toolbar,draft-js-plugins/draft-js-plugins,67909.0,8,0,4074,3411
lodash.takeright,lodash/lodash,1074898.0,0,0,58625,5615
omelette,f/omelette,4592500.0,0,0,1375,52
@miniflare/d1,cloudflare/miniflare,6870494.0,2,1,3647,709
react-native-image-cache-hoc,billmalarky/react-native-image-cache-hoc,29460.0,9,12,287,71
@types/migrate-mongo,DefinitelyTyped/DefinitelyTyped,590993.0,2,0,46776,66341
@napi-rs/canvas-linux-arm64-gnu,Brooooooklyn/canvas,481764.0,0,0,1539,793
jsdoc-to-markdown,jsdoc2md/jsdoc-to-markdown,6086275.0,7,1,1611,291
@cspell/eslint-plugin,streetsidesoftware/cspell,486168.0,4,12,1066,5316
mochawesome,adamgruber/mochawesome,50995468.0,11,11,1043,399
@rimbu/list,rimbu-org/rimbu,48544.0,5,0,123,201
@node-lightning/invoice,altangent/node-lightning,51729.0,4,0,129,332
@tinyhttp/type-is,tinyhttp/tinyhttp,587635.0,2,0,2590,391
@webiny/app-serverless-cms,webiny/webiny-js,33816.0,31,12,7056,3895
@oclif/core,oclif/core,52774290.0,27,46,148,998
homoglyph-search,codebox/homoglyph,36045.0,0,0,491,14
sigma,jacomyal/sigma.js,372326.0,3,39,10940,1404
@types/fibers,DefinitelyTyped/DefinitelyTyped,6076294.0,0,0,46776,66341
aurelia-materialize-bridge,aurelia-ui-toolkits/aurelia-materialize-bridge,79826.0,6,17,156,578
@atproto/lexicon,bluesky-social/atproto,48914.0,5,0,5596,2015
electron-reloader,sindresorhus/electron-reloader,192600.0,5,4,569,30
azure-arm-cosmosdb,azure/azure-sdk-for-node,91706.0,2,0,1187,5209
pathe,unjs/pathe,121577399.0,0,10,333,162
amazon-textract-response-parser,aws-samples/amazon-textract-response-parser,255006.0,0,20,198,173
@standard-crypto/farcaster-js,standard-crypto/farcaster-js,22224.0,4,0,104,756
@paperless/core,ionic-team/stencil-component-starter,56979.0,5,19,269,133
@types/react-native-config-reader,DefinitelyTyped/DefinitelyTyped,35902.0,0,0,46776,66341
@builder.io/angular,BuilderIO/builder,112542.0,13,0,6510,3033
imghash,pwlmaciejewski/imghash,26614.0,4,6,160,242
next-plugin-bundle-stats,relative-ci/bundle-stats,101603.0,1,0,464,4308
a11y-dialog,KittyGiraudel/a11y-dialog,2755461.0,1,11,2363,644
geometric,HarryStevens/geometric,287187.0,0,8,938,46
pdfjs-dist,mozilla/pdfjs-dist,93014674.0,2,0,1055,20
@ironfish/rust-nodejs,iron-fish/ironfish,253677.0,0,6,957,4796
@akanass/rx-http-request,akanass/rx-http-request,64980.0,4,0,120,43
@ucast/js,stalniy/ucast,13795175.0,1,29,166,47
leaflet-ajax,calvinmetcalf/leaflet-ajax,22776.0,1,4,358,59
@moonbeam-network/api-augment,moonbeam-foundation/moonbeam,80035.0,0,7,873,2702
@uni/env,raxjs/universal-api,109008.0,0,0,257,299
@node-lightning/secp256k1,altangent/node-lightning,49383.0,2,0,129,332
@glennsl/bs-jest,glennsl/bs-jest,109566.0,1,3,293,118
react-metismenu,alpertuna/react-metismenu,119391.0,7,24,177,52
graphdracula,strathausen/dracula,55196.0,3,16,826,101
@rooks/use-outside-click,imbhargav5/rooks,187230.0,1,0,3102,1731
@react-18-pdf/types,diegomura/react-pdf,31544.0,0,0,13973,2461
@antv/layout,antvis/layout,5546105.0,7,33,171,208
lru-cache-node,arbazsiddiqui/lru-cache-node,106275.0,0,2,118,10
@segment/analytics-react-native,segmentio/analytics-react-native,3558895.0,9,4,348,925
jquery-tags-input,xoxco/jQuery-Tags-Input,149524.0,0,10,2298,366
yalc,whitecolor/yalc,3857996.0,8,19,5314,238
less2sass,ekryski/less2sass,43683.0,3,1,274,34
sass-embedded-win32-x64,sass/embedded-host-node,1754271.0,0,0,128,274
@loopback/authentication-jwt,loopbackio/loopback-next,182754.0,8,15,4821,10040
@webex/test-helper-chai,webex/webex-js-sdk,248328.0,3,2,164,3435
@interactjs/core,taye/interact.js,2727815.0,1,0,11955,1025
appmetrics,RuntimeTools/appmetrics,67656.0,6,5,969,659
tsd-jsdoc,englercj/jsdoc2tsd,152139.0,2,9,308,154
webworkify,substack/webworkify,3948245.0,0,2,412,46
@accounts/client,accounts-js/accounts,55192.0,2,2,1483,1229
connect-rest,imrefazekas/connect-rest,163381.0,8,8,100,46
@capacitor-firebase/crashlytics,capawesome-team/capacitor-firebase,65491.0,1,15,333,481
@pothos/tracing-opentelemetry,hayes/pothos,76311.0,5,16,2199,981
@types/postcss-css-variables,DefinitelyTyped/DefinitelyTyped,39945.0,1,0,46776,66341
rc-dock,ticlo/rc-dock,225145.0,8,22,618,226
@aws-cdk/cloud-assembly-schema,aws/aws-cdk,84898981.0,2,9,11030,28455
block-scripts,blockprotocol/blockprotocol,149586.0,31,7,1318,1347
tty,npm/security-holder,20094289.0,0,0,148,13
@matterlabs/hardhat-zksync-vyper,matter-labs/hardhat-zksync,44801.0,11,23,263,908
@nrwl/gatsby,nrwl/nx-labs,172206.0,1,0,128,385
@azure-rest/core-client,Azure/azure-sdk-for-js,1298049.0,6,13,1903,28860
@endo/eventual-send,endojs/endo,278129.0,1,5,724,2114
react-native-rate,KjellConnelly/react-native-rate,2420887.0,0,6,630,122
@esbuild-plugins/esm-externals,remorses/esbuild-plugins,70352.0,3,1,271,41
@types/prosemirror-tables,ProseMirror/prosemirror-tables,177035.0,1,0,221,221
figma-js,jemgold/figma-js,2172976.0,1,17,479,68
trim-buffer,rannn505/child-shell,247623.0,0,1,296,160
resolve-css-import-urls,cssstats/cssstats,147879.0,4,0,2805,372
