repo_id,repo_name,n_stars,n_stars_latest,n_stars_low_activity,p_stars_low_activity,n_stars_clustered,p_stars_clustered,p_stars_fake,active_days,tags,description
MDEwOlJlcG9zaXRvcnk5NjE5OTAzMA==,AlfredXiangWu/LightCNN,597.0,1006.0,0.0,0.0,145.0,0.24288107202680068,0.24288107202680068,1914.0,"['pytorch', 'face-recognition', 'lightcnn']","A Light CNN for Deep Face Representation with Noisy Labels, TIFS 2018"
R_kgDOJzpfhw,joshpxyne/gpt-migrate,877.0,6773.0,0.0,0.0,211.0,0.24059293044469784,0.24059293044469784,393.0,[],Easily migrate your codebase from one framework or language to another.
MDEwOlJlcG9zaXRvcnk0MDM4MjE0ODU=,AnonymousAAArdvark/qi,422.0,397.0,0.0,0.0,101.0,0.23933649289099526,0.23933649289099526,1114.0,"['programming-language', 'chinese', 'program-in-chinese', 'esoteric-language', 'esolang', 'language', 'bytecode', 'qi', 'scripting-language', 'interpreter']",Lightweight and fast programming language designed to be written in Chinese.
R_kgDOL4FqCg,adysec/nuclei_poc,604.0,589.0,0.0,0.0,143.0,0.2367549668874172,0.2367549668874172,149.0,"['daily', 'exploit', 'exploits', 'fingerprint', 'hack-tools', 'hacker', 'hacking', 'nuclei', 'nuclei-templates', 'poc', 'scanner', 'security', 'security-scanner', 'vulnerability-detection']",Nuclei POC，每日更新 | 自动整合全网Nuclei的漏洞POC，实时同步更新最新POC，保存已被删除的POC。通过批量克隆Github项目，获取Nuclei POC，并将POC按类别分类存放，使用Github Action实现（已有11wPOC，已校验有效性并去重）
R_kgDOJKxRtQ,wangzhaode/mnn-llm,509.0,1388.0,0.0,0.0,120.0,0.2357563850687623,0.2357563850687623,383.0,"['chatglm-6b', 'cpp', 'cuda', 'mnn', 'opencl', 'chatglm2-6b', 'qwen-7b', 'baichuan2-7b', 'codegeex2-6b']",llm deploy project based mnn.
R_kgDOJkkvnQ,InternLM/agentlego,327.0,345.0,0.0,0.0,76.0,0.2324159021406728,0.2324159021406728,296.0,"['large-language-models', 'llm', 'llm-agents']",Enhance LLM agents with rich tool APIs
R_kgDOIaDPfQ,ischenliang/quickly-picture-bed,613.0,620.0,0.0,0.0,142.0,0.23164763458401305,0.23164763458401305,691.0,"['docker', 'nest', 'rollupjs', 'vitejs', 'vuejs3']",轻快图床：使用nestjs+vue3.x+ts+vite开发的在线图床系统，内置功能包括图片上传、图片管理、存储桶管理、相册管理、插件市场、知识库管理、数据统计等功能，插件分为上传插件、主题插件、工具箱插件，目前内置数十种插件，支持腾讯云COS、又拍云Upyun、阿里云OSS、github图床、gitee图床、七牛云 KODO等常用对象存储插件以及vscode暗黑主题、Monokai主题等。
R_kgDOLg46vw,InternLM/Agent-FLAN,302.0,322.0,0.0,0.0,69.0,0.22847682119205298,0.22847682119205298,195.0,"['agent', 'llm', 'chatbot', 'fine-tuning-llm', 'gpt', 'large-language-model']",[ACL2024 Findings] Agent-FLAN: Designing Data and Methods of Effective Agent Tuning for Large Language Models
R_kgDOH65Esw,FaceOnLive/Face-Liveness-Detection-SDK-Linux,447.0,195.0,0.0,0.0,102.0,0.22818791946308725,0.22818791946308725,758.0,"['anti-spoofing', 'computer-vision', 'faceonlive', 'idverification', 'liveness-detection', 'customer-onboarding', 'ekyc', 'face-recognition']",Face Liveness Detection (Face Anti Spoofing) Server SDK
R_kgDOJFV1jA,ml444/gkit,355.0,354.0,0.0,0.0,81.0,0.22816901408450704,0.22816901408450704,546.0,[],a microservice framework
R_kgDOHXIqtQ,zksync-sdk/zksync2-python,320.0,321.0,0.0,0.0,71.0,0.221875,0.221875,707.0,[],zksync2 is a web3.py library adapted to work with the ZKsync Era.
R_kgDOGxdJvg,NibiruChain/nibiru,248.0,183.0,0.0,0.0,55.0,0.2217741935483871,0.2217741935483871,708.0,"['nibiru-chain', 'blockchain', 'golang', 'ethereum', 'smart-contracts', 'wasm']","Nibiru Chain: The breakthrough smart contract platform ushering in the next era of money. Nibiru powers an ecosystem of dApps including perps, RWAs, and more."
R_kgDOK83Ctg,DL3DV-10K/Dataset,323.0,262.0,0.0,0.0,70.0,0.21671826625386997,0.21671826625386997,284.0,"['3d-models', 'ai', 'deep-learning', 'novel-view-synthesis', '3d-reconstruction', '3d-vision', 'computer-graphics', 'computer-vision', 'machine-learning', 'pytorch']",News: the 10k dataset is ready for download.
R_kgDOGSYXKw,AleoHQ/aleo-education,239.0,228.0,0.0,0.0,50.0,0.20920502092050208,0.20920502092050208,929.0,[],Aleo Education
MDEwOlJlcG9zaXRvcnkzMjQxODk1OTA=,matter-labs/zksync-wallet-vue,562.0,521.0,0.0,0.0,116.0,0.20640569395017794,0.20640569395017794,1255.0,"['zksync', 'dapp', 'ethereum', 'lite']",zkSync Lite web wallet
R_kgDOK26HjA,ChinaRan0/BlueTeamTools,361.0,387.0,0.0,0.0,72.0,0.1994459833795014,0.1994459833795014,297.0,[],蓝队工具箱
MDEwOlJlcG9zaXRvcnkzMzY4MzY0MDA=,AleoHQ/ARCs,253.0,207.0,0.0,0.0,50.0,0.1976284584980237,0.1976284584980237,1187.0,"['aleo', 'rfcs']",Aleo Request for Comments (ARCs)
R_kgDOJaUPQg,zaivanza/layerzero_tx_checker,263.0,209.0,0.0,0.0,50.0,0.19011406844106463,0.19011406844106463,522.0,[],
R_kgDOLIBb4A,InternLM/InternLM-Math,406.0,417.0,0.0,0.0,75.0,0.18472906403940886,0.18472906403940886,253.0,[],State-of-the-art bilingual open-sourced Math reasoning LLMs.
MDEwOlJlcG9zaXRvcnkyMzM2MzI2MzM=,holochain/holochain,1235.0,1147.0,0.0,0.0,225.0,0.18218623481781376,0.18218623481781376,1478.0,"['holochain', 'holochain-rust', 'p2p', 'blockchain', 'dapps-development', 'distributed-computing', 'dapps', 'rust', 'web3']","The current, performant & industrial strength version of Holochain on Rust."
MDEwOlJlcG9zaXRvcnkxOTA1ODkzMTA=,Adamant-im/adamant-notificationService,376.0,332.0,0.0,0.0,68.0,0.18085106382978725,0.18085106382978725,1906.0,"['apns', 'push-notifications', 'push', 'ios', 'ans', 'messaging', 'notifications']",ADAMANT push Notification Service for iOS Messenger app
R_kgDOGPJ_rw,starknet-io/starknet.js,936.0,1217.0,0.0,0.0,168.0,0.1794871794871795,0.1794871794871795,386.0,"['starknet', 'starkware', 'l2', 'zk', 'zk-rollup', 'zk-starks', 'ethereum']",JavaScript library for StarkNet
R_kgDOIkHnLQ,Boeing/config-file-validator,343.0,306.0,0.0,0.0,61.0,0.17784256559766765,0.17784256559766765,663.0,"['configuration-files', 'go', 'golang', 'developer-tools', 'devops', 'config', 'files', 'json', 'xml', 'yaml', 'toml', 'validator', 'ini', 'hacktoberfest', 'hacktoberfest2024', 'hacktoberfest-2024', 'test-automation', 'testing', 'testing-tools', 'cli']",Cross Platform tool to validate configuration files
R_kgDOK4ZoaA,MiniAiLive/MiniAI-Face-Recognition-AndroidSDK,539.0,578.0,0.0,0.0,95.0,0.17625231910946196,0.17625231910946196,134.0,"['anti-spoofing', 'face-alignment', 'face-detection', 'face-liveness', 'face-liveness-detection', 'face-mask-detection', 'face-matching', 'face-recognition', 'face-tracking', 'feature-extraction', 'age-gender-estimation', 'authentication', 'biometrics', 'ekyc-verification', 'face-attributes', 'idv', 'kyc-service', 'nist-frvt', 'onboarding', 'passive-liveness']","Face Recognition on NIST FRVT Top Ranked ,Face Liveness Detection Engine on iBeta 2 Certified, 3D Face Anti Spoofing, Face Detection, Face Matching, Face Analysis, Face Sentiment, Face Alignment, Face Identification && Face Verification && Face Representation; Face Reconstruction; Face Tracking; Face Super-Resolution on Android"
R_kgDOJ9NM9A,zchoi/Awesome-Embodied-Agent-with-LLMs,633.0,769.0,0.0,0.0,111.0,0.17535545023696683,0.17535545023696683,384.0,"['embodied-agent', 'embodied-ai', 'scene-understanding', 'navigation', 'planning-algorithms', 'manipulator-robotics', 'awesome', 'agent', 'large-language-model']","This is a curated list of ""Embodied AI or robot with Large Language Models"" research. Watch this repository for the latest updates! 🔥"
MDEwOlJlcG9zaXRvcnkxOTY5NjMy,TrinityCore/WowPacketParser,311.0,426.0,54.0,0.17363344051446947,0.0,0.0,0.17363344051446947,1920.0,"['sniff', 'wow', 'parser', 'dotnet', 'c-sharp', 'wpp', 'hacktoberfest']",World of Warcraft Packet Parser
R_kgDOIGTWHA,mahdibland/V2RayAggregator,3088.0,3052.0,0.0,0.0,531.0,0.1719559585492228,0.1719559585492228,645.0,"['airport', 'clash', 'gfw', 'nodes', 'proxies', 'scientific-internet-access', 'shadowsocks', 'shadowsocksr', 'ss', 'ssr', 'trojan', 'vmess', 'best-nodes', 'china-censorship', 'clash-config', 'freeairport', 'freenodes', 'v2ray', 'free-proxies', 'node']","Collect Lots of Shadowsocks, ShadowsocksR, Trojan, Vmess from Public Sources & Filter Best Nodes By Speed"
R_kgDOGLr2iw,matter-labs/zksync-web-era-docs,1014.0,984.0,0.0,0.0,174.0,0.17159763313609466,0.17159763313609466,593.0,"['zksync', 'team-core', 'team-frontend', 'zksync-v2']",zkSync Era Documentation
MDEwOlJlcG9zaXRvcnkxNTkzNjEwNTU=,Adamant-im/adamant-api-jsclient,409.0,344.0,0.0,0.0,70.0,0.17114914425427874,0.17114914425427874,1917.0,"['adamant-nodes', 'adm', 'adamant', 'blockchain', 'messenger', 'chat', 'decentralized-messenger', 'anonymous-messenger', 'secure-messenger', 'wallet', 'crypto-wallet', 'private-keys', 'communication', 'anonymous', 'secure', 'encryption', 'crypto', 'cryptocurrency', 'bitcoin']",ADAMANT Javascript API library
MDEwOlJlcG9zaXRvcnkxNTgwNjIxODU=,Adamant-im/adamant-2fa,384.0,344.0,0.0,0.0,65.0,0.16927083333333334,0.16927083333333334,1869.0,"['2fa', '2fa-client', '2factor', 'blockchain', 'cryptocurrency', 'otp', 'otp-verification', 'security']",ADAMANT's Blockchain 2FA demo
R_kgDOHH2yew,Luhuanz/pytorch_project,519.0,522.0,0.0,0.0,87.0,0.1676300578034682,0.1676300578034682,722.0,[],llms 大模型 笔记50篇 此仓库包含关于机器学习、深度学习、计算机视觉、自然语言处理、大模型 爬虫等领域 项目实战
MDEwOlJlcG9zaXRvcnkxMDQ0Njg4NTE=,Adamant-im/adamant-explorer,401.0,343.0,0.0,0.0,67.0,0.16708229426433915,0.16708229426433915,1872.0,[],ADAMANT Blockchain Explorer
MDEwOlJlcG9zaXRvcnkyNzc3OTgyNzQ=,tatumio/tatum-js,440.0,362.0,72.0,0.16363636363636364,0.0,0.0,0.16363636363636364,1547.0,"['blockchain', 'api', 'cryptocurrency', 'dev-tool', 'ethereum', 'polygon', 'sdk', 'tron', 'exchange-rate', 'fee-estimation', 'fungible-tokens', 'json-rpc', 'nft', 'notifications', 'rpc', 'solana', 'typescript', 'wallet-provider', 'webhooks']","🚀 Tatum SDK: A 💪 powerful, 🌟 feature-rich TypeScript/JavaScript 📚 library that streamlines the 🛠️ development of 🌐 blockchain applications."
R_kgDOHExyEQ,DexSniping/DexSniping-BSC-ERC20-Telegram-Alerts,1027.0,343.0,0.0,0.0,168.0,0.16358325219084713,0.16358325219084713,914.0,"['bep20', 'bnb', 'dex', 'erc20', 'eth', 'sniper', 'sniper-bot', 'sniperbot', 'uniswap', 'bot', 'python', 'python3', 'telegram-bot', 'pancakeswap', 'metamask']","Dex Bot Sniper for Uniswap & Pancakeswap - ERC-20/ERC20/ETH and BSC/BEP-20/BNB - Liquidity pool, target (TP) and Stoploss (SL)"
MDEwOlJlcG9zaXRvcnkxODg4OTc5OTI=,Adamant-im/adamant-exchangebot,426.0,351.0,0.0,0.0,69.0,0.1619718309859155,0.1619718309859155,1918.0,[],Crypto exchange bot for ADAMANT
MDEwOlJlcG9zaXRvcnkyMTMzMTA5MA==,4ian/GDevelop,20122.0,21118.0,1234.0,0.06132591193718318,1915.0,0.09516946625583939,0.15649537819302256,1920.0,"['game', 'javascript', 'gamedev', 'game-development', 'game-engine', 'html5', 'gamemaker', '2d-game', '2d-game-engine', 'c-plus-plus', 'gdevelop', 'html5-game-engine', 'game-2d', 'hacktoberfest', 'open-source', '3d', '3d-game', '3d-game-engine', 'game-3d', 'multiplayer']","🎮 Open-source, cross-platform 2D/3D/multiplayer game engine designed for everyone."
R_kgDOGvFETA,arpit20adlakha/Computer-Science-Papers-For-System-Design,435.0,459.0,0.0,0.0,65.0,0.14942528735632185,0.14942528735632185,506.0,[],
MDEwOlJlcG9zaXRvcnkxMjE0MDA1OTY=,Adamant-im/adamant-console,410.0,349.0,0.0,0.0,61.0,0.14878048780487804,0.14878048780487804,1846.0,"['2fa', 'adm', 'blockchain', 'messaging', 'adamant', 'bash', 'cli', 'cryptocurrency']",Command-line utilities to work with ADAMANT blockchain
R_kgDOKOSw-A,lastmile-ai/aiconfig,881.0,908.0,0.0,0.0,129.0,0.14642451759364358,0.14642451759364358,350.0,"['ai', 'developer-tools', 'generative-ai', 'llm', 'llm-ops']",AIConfig is a config-based framework to build generative AI applications.
R_kgDOKk7m7Q,bagisto/opensource-ecommerce-mobile-app,4811.0,5050.0,0.0,0.0,677.0,0.140719185200582,0.140719185200582,271.0,"['ecommerce-mobile-app', 'flutter-apps', 'laravel-mobile', 'mobile-app', 'mobile-ecommerce', 'opensource-ecommerce', 'ecommerce-mobile', 'flutter-ecommerce', 'flutter-ecommerce-app', 'laravel-ecommerce', 'laravel-ecommerce-project']","This open-source mobile ecommerce app seamlessly transforms your Bagisto store into a powerful mobile platform, providing real-time synchronization of products and categories. "
R_kgDOIUnQzg,Adamant-im/pool,421.0,356.0,0.0,0.0,55.0,0.13064133016627077,0.13064133016627077,693.0,"['adamant', 'adm', 'forging', 'blockchain', 'crypto', 'cryptocurrency', 'delegate', 'dpos', 'mining', 'pool', 'rewards', 'voters', 'wallet']",ADAMANT Forging pool with Web interface
MDEwOlJlcG9zaXRvcnkxMzM0NDkzODM=,holochain/holochain-rust,578.0,1121.0,0.0,0.0,73.0,0.12629757785467127,0.12629757785467127,1910.0,"['holochain', 'blockchain', 'rust', 'wasm', 'dht', 'dapps']",DEPRECATED. The Holochain framework implemented in rust with a redux style internal state-model.
MDEwOlJlcG9zaXRvcnkyMTIxNTk2MDM=,max32002/tixcraft_bot,2306.0,2308.0,0.0,0.0,286.0,0.12402428447528187,0.12402428447528187,1800.0,,
R_kgDOH7YszA,stellar/soroban-example-dapp,983.0,1043.0,0.0,0.0,120.0,0.12207527975584945,0.12207527975584945,760.0,[],End-to-End Example Soroban Dapp
R_kgDOICEMfQ,howardwu/awesome-aleo,413.0,351.0,0.0,0.0,50.0,0.12106537530266344,0.12106537530266344,742.0,"['awesome', 'privacy', 'aleo', 'zero-knowledge', 'zksnarks']",🏎️ A curated list of Aleo & Leo code and resources 🏎️
MDEwOlJlcG9zaXRvcnkxNjU4MjY2NTQ=,google-deepmind/deepmind-research,941.0,12990.0,0.0,0.0,108.0,0.11477151965993623,0.11477151965993623,390.0,[],This repository contains implementations and illustrative code to accompany DeepMind publications
MDEwOlJlcG9zaXRvcnkyMDc3MzQ0NTk=,gaarason/database-all,799.0,774.0,0.0,0.0,91.0,0.11389236545682102,0.11389236545682102,1840.0,"['laravel', 'java', 'orm', 'database', 'spring-boot', 'starter', 'eloquent-orm', 'mysql', 'model', 'orm-framework', 'orm-library', 'eloquent']","Eloquent ORM for Java 8, 11, 17, 21 and Spring boot 2.x , 3.x"
MDEwOlJlcG9zaXRvcnk4NjA5NTEyMw==,coells/100days,1480.0,7470.0,0.0,0.0,168.0,0.11351351351351352,0.11351351351351352,1920.0,[],100 days of algorithms
MDEwOlJlcG9zaXRvcnkyNDY3Njg2MTE=,Adamant-im/adamant-tradebot,574.0,538.0,0.0,0.0,64.0,0.11149825783972125,0.11149825783972125,1663.0,"['exchange', 'crypto-exchanges', 'trades', 'price-watching', 'liquidity', 'spread', 'cryptocurrency', 'crypto', 'order-book', 'trade-volume', 'market-making', 'trade', 'trading', 'bitcoin', 'blockchain', 'adamant', 'adm', 'trading-bot', 'p2pb2b', 'azbit']","Free self-hosted market-making software for cryptocurrency projects and exchanges. Makes trade volume, maintains spread and liquidity/depth, set price range, and builds live-like dynamic order book."
R_kgDOKX2BYQ,ethstorage/es-node,946.0,1143.0,0.0,0.0,105.0,0.1109936575052854,0.1109936575052854,327.0,[],Golang implementation of the EthStorage node.
MDEwOlJlcG9zaXRvcnkxNTQ3OTczOTE=,Adamant-im/ETH-transactions-storage,647.0,616.0,0.0,0.0,68.0,0.10510046367851623,0.10510046367851623,1863.0,"['ethereum-address', 'ethereum-node', 'eth-address', 'transaction', 'eth-transaction', 'erc20', 'erc20-tokens', 'indexing', 'indexer', 'openethereum', 'parity', 'geth', 'api', 'rest', 'cryptocurrency', 'ethereum-transactions', 'ethereum']",Indexer for Ethereum to get transaction list by ETH address
MDEwOlJlcG9zaXRvcnkxNjIyNzY4OTQ=,Wilfred/difftastic,19161.0,20193.0,0.0,0.0,1968.0,0.10270862689838735,0.10270862689838735,1780.0,"['diff', 'tree-sitter']",a structural diff that understands syntax 🟥🟩
