repo,month,n_stars,n_clustered_stars
addyosmani/essential-js-design-patterns,2019-10,11,0
addyosmani/essential-js-design-patterns,2019-11,8,0
addyosmani/essential-js-design-patterns,2019-12,6,0
agalwood/Motrix,2019-07,289,0
agalwood/Motrix,2019-08,262,0
agalwood/Motrix,2019-09,195,0
agalwood/Motrix,2019-10,261,0
agalwood/Motrix,2019-11,251,0
agalwood/Motrix,2019-12,620,0
agalwood/Motrix,2020-01,17,0
airbnb/javascript,2019-07,442,0
airbnb/javascript,2019-08,384,0
airbnb/javascript,2019-09,322,0
airbnb/javascript,2019-10,347,0
airbnb/javascript,2019-11,313,0
airbnb/javascript,2019-12,300,0
airbnb/javascript,2020-01,3,0
alebcay/awesome-shell,2019-07,114,0
alebcay/awesome-shell,2019-08,113,0
alebcay/awesome-shell,2019-09,86,0
alebcay/awesome-shell,2019-10,104,0
alebcay/awesome-shell,2019-11,94,0
alebcay/awesome-shell,2019-12,99,0
alebcay/awesome-shell,2020-01,1,0
alex/what-happens-when,2019-07,88,0
alex/what-happens-when,2019-08,67,0
alex/what-happens-when,2019-09,94,0
alex/what-happens-when,2019-10,63,0
alex/what-happens-when,2019-11,82,0
alex/what-happens-when,2019-12,43,0
alpinejs/alpine,2019-12,172,0
alpinejs/alpine,2020-01,2,0
android/architecture-components-samples,2019-09,15,0
android/architecture-components-samples,2019-10,117,0
android/architecture-components-samples,2019-11,122,0
android/architecture-components-samples,2019-12,108,0
android/architecture-components-samples,2020-01,3,0
android/architecture-samples,2019-09,28,0
android/architecture-samples,2019-10,154,0
android/architecture-samples,2019-11,130,0
android/architecture-samples,2019-12,118,0
android/compose-samples,2019-09,5,0
android/compose-samples,2019-10,122,0
android/compose-samples,2019-11,101,0
android/compose-samples,2019-12,52,0
android/sunflower,2019-09,23,0
android/sunflower,2019-10,145,0
android/sunflower,2019-11,132,0
android/sunflower,2019-12,105,0
angular/angular,2019-07,330,0
angular/angular,2019-08,385,0
angular/angular,2019-09,570,0
angular/angular,2019-10,510,0
angular/angular,2019-11,502,0
angular/angular,2019-12,463,0
angular/angular,2020-01,13,0
ankane/blind_index,2019-07,1,0
ankane/blind_index,2019-08,2,0
ankane/blind_index,2019-09,2,0
ankane/blind_index,2019-10,2,0
ankane/blind_index,2019-11,1,0
ankane/blind_index,2019-12,3,0
ant-design/ant-design,2019-07,629,0
ant-design/ant-design,2019-08,504,0
ant-design/ant-design,2019-09,412,0
ant-design/ant-design,2019-10,450,0
ant-design/ant-design,2019-11,381,0
ant-design/ant-design,2019-12,380,0
ant-design/ant-design,2020-01,6,0
anu0012/awesome-computer-science-opportunities,2019-07,10,0
anu0012/awesome-computer-science-opportunities,2019-08,6,0
anu0012/awesome-computer-science-opportunities,2019-09,8,0
anu0012/awesome-computer-science-opportunities,2019-10,24,0
anu0012/awesome-computer-science-opportunities,2019-11,11,0
anu0012/awesome-computer-science-opportunities,2019-12,18,0
apple/swift,2019-07,150,0
apple/swift,2019-08,146,0
apple/swift,2019-09,125,0
apple/swift,2019-10,136,0
apple/swift,2019-11,169,0
apple/swift,2019-12,123,0
apple/swift,2020-01,3,0
appwrite/appwrite,2019-07,1,0
appwrite/appwrite,2019-08,17,0
appwrite/appwrite,2019-09,301,0
appwrite/appwrite,2019-10,304,0
appwrite/appwrite,2019-11,31,0
appwrite/appwrite,2019-12,54,0
arendst/Tasmota,2019-10,31,0
arendst/Tasmota,2019-11,136,0
arendst/Tasmota,2019-12,178,0
arendst/Tasmota,2020-01,1,0
avelino/awesome-go,2019-07,380,0
avelino/awesome-go,2019-08,370,0
avelino/awesome-go,2019-09,346,0
avelino/awesome-go,2019-10,325,0
avelino/awesome-go,2019-11,323,0
avelino/awesome-go,2019-12,352,0
avelino/awesome-go,2020-01,15,0
awesome-selfhosted/awesome-selfhosted,2019-10,318,0
awesome-selfhosted/awesome-selfhosted,2019-11,371,0
awesome-selfhosted/awesome-selfhosted,2019-12,566,0
awesome-selfhosted/awesome-selfhosted,2020-01,7,0
backlion/hack-for-tools,2019-07,1,0
backlion/hack-for-tools,2019-08,1,0
backlion/hack-for-tools,2019-10,5,0
backlion/hack-for-tools,2019-11,2,0
backlion/hack-for-tools,2019-12,1,0
bagisto/bagisto,2019-07,50,0
bagisto/bagisto,2019-08,56,0
bagisto/bagisto,2019-09,35,0
bagisto/bagisto,2019-10,26,0
bagisto/bagisto,2019-11,34,0
bagisto/bagisto,2019-12,37,0
bannedbook/fanqiang,2019-07,276,0
bannedbook/fanqiang,2019-08,200,0
bannedbook/fanqiang,2019-09,226,0
bannedbook/fanqiang,2019-10,233,0
bannedbook/fanqiang,2019-11,363,0
bannedbook/fanqiang,2019-12,174,0
bannedbook/fanqiang,2020-01,4,0
barry-ran/QtScrcpy,2019-07,52,0
barry-ran/QtScrcpy,2019-08,54,0
barry-ran/QtScrcpy,2019-09,19,0
barry-ran/QtScrcpy,2019-10,240,0
barry-ran/QtScrcpy,2019-11,36,0
barry-ran/QtScrcpy,2019-12,27,0
biancangming/wtv,2019-11,230,0
biancangming/wtv,2019-12,26,0
biancangming/wtv,2020-01,2,0
binhnguyennus/awesome-scalability,2019-07,167,0
binhnguyennus/awesome-scalability,2019-08,279,0
binhnguyennus/awesome-scalability,2019-09,149,0
binhnguyennus/awesome-scalability,2019-10,152,0
binhnguyennus/awesome-scalability,2019-11,112,0
binhnguyennus/awesome-scalability,2019-12,116,0
binhnguyennus/awesome-scalability,2020-01,1,0
bitcoin/bips,2019-07,35,0
bitcoin/bips,2019-08,27,0
bitcoin/bips,2019-09,24,0
bitcoin/bips,2019-10,26,0
bitcoin/bips,2019-11,20,0
bitcoin/bips,2019-12,19,0
bitcoin/bitcoin,2019-07,241,0
bitcoin/bitcoin,2019-08,174,0
bitcoin/bitcoin,2019-09,185,0
bitcoin/bitcoin,2019-10,205,0
bitcoin/bitcoin,2019-11,256,0
bitcoin/bitcoin,2019-12,164,0
bitcoin/bitcoin,2020-01,2,0
bitcoinbook/bitcoinbook,2019-07,50,0
bitcoinbook/bitcoinbook,2019-08,58,0
bitcoinbook/bitcoinbook,2019-09,45,0
