repo_id,repo_names,n_stars,n_stars_low_activity,p_stars_low_activity
,Josiah51m/ETH-ARBITRAGE-MEV-BOT,79,70,0.8860759493670886
,vislouhii/verified-tor-sites-2024-may,269,238,0.8847583643122676
,rxson/rxson,69,61,0.8840579710144928
,feet/watermarker,1440,1273,0.8840277777777777
,StresserSU/IP-STRESSER,249,220,0.8835341365461847
,KenjHaki/Auto-Market-Making-Bot,338,298,0.8816568047337278
,xingsporurag1985/Movavi-Editor,74,65,0.8783783783783784
,nftdevs/generate-nfts,376,329,0.875
,FastMiners/PhoenixMiner,112,98,0.875
,nftdevs/NFTs-Upload-to-OpenSea,1800,1574,0.8744444444444445
,VihJuan/Ableton-Live-Download,102,89,0.8725490196078431
,caige22/imitate-spring-framework,663,576,0.8687782805429864
R_kgDOJ65lJg,bosyhoka/Paranoid,97,84,0.865979381443299
,Anyworldpypsik/office-2024,67,58,0.8656716417910447
,tigercub231/hyd65dry5b5,212,183,0.8632075471698113
,iepikyp/ARBITRAGE-MEV-BOT,87,75,0.8620689655172413
,HOHOTUTECALME/Adobe-Photoshop,159,137,0.8616352201257862
,HOHOTUTECALME/MICROSOFT-OFFICE,142,121,0.852112676056338
,Raellebi/Mevbot,60,51,0.85
,stroveio/strove.io-client,80,68,0.85
,HOHOTUTECALME/Adobe-Premiere,136,115,0.8455882352941176
,PolkaTopDeck/valorant-cheat,168,142,0.8452380952380952
MDEwOlJlcG9zaXRvcnkyODYwNDMxOTI=,EmotionEngi/EmotionLib,292,246,0.8424657534246576
R_kgDOI8F8uA,fintechees/FiSDK,76,64,0.8421052631578947
,thejoy03/windows-7-activator,82,69,0.8414634146341463
,h0ckermanchik/Fortnite-NewestSoftware,1149,965,0.8398607484769365
MDEwOlJlcG9zaXRvcnkzNTIxOTEyOTk=,kzltp/ArkTracker,61,51,0.8360655737704918
,recaperhealth1978/Itop-Vpn,67,56,0.835820895522388
MDEwOlJlcG9zaXRvcnkyMzA5NTMxNzg=,"LupusLeaks/EasyFN,LupusLeaks/EasyFNBot",7565,6322,0.8356906807666887
,lindis3es/fantastic-engine,73,61,0.8356164383561644
,SandileAlmighty/Rainbow-Six-Siege-Cheat,90,75,0.8333333333333334
,ahmadpanah/Apple-WalletBruter-Main,77,64,0.8311688311688312
