github,total_stars,fake_stars,fake_percentage
Semantic-Org/Semantic-UI,51066,21,0.041123252261778875
ascoders/react-native-image-viewer,2437,1,0.04103405826836274
bytedance/garfish,2440,1,0.040983606557377046
segmentio/nightmare,19531,8,0.04096052429471097
dalibo/pev2,2446,1,0.04088307440719542
t3-oss/t3-env,2446,1,0.04088307440719542
meetDeveloper/googleDictionaryAPI,2447,1,0.04086636697997548
Simonwep/selection,2449,1,0.04083299305839118
slundberg/shap,22060,9,0.04079782411604715
suanmei/callapp-lib,2452,1,0.040783034257748776
uber/image-diff,2457,1,0.0407000407000407
aFarkas/html5shiv,9880,4,0.04048582995951417
boardgameio/boardgame.io,9922,4,0.04031445273130417
aehlke/tag-it,2483,1,0.04027386226339106
open-source-labs/Svelvet,2495,1,0.04008016032064128
digitalbazaar/forge,5002,2,0.03998400639744103
ealush/vest,2503,1,0.03995205753096284
umijs/umi,15039,6,0.03989626969878316
orioncactus/pretendard,2508,1,0.03987240829346093
intljusticemission/react-big-calendar,7531,3,0.039835347231443365
youzan/vant-weapp,17579,7,0.0398202400591615
amejiarosario/dsa.js,7534,3,0.039819485001327315
jquense/react-big-calendar,7535,3,0.039814200398142006
vercel/ms,5026,2,0.03979307600477517
alibaba/ChatUI,2514,1,0.03977724741447892
sequelize/cli,2516,1,0.0397456279809221
cachecontrol/json-rules-engine,2519,1,0.03969829297340214
holepunchto/hypercore,2531,1,0.03951007506914263
muaz-khan/RTCMultiConnection,2532,1,0.03949447077409163
conventional-changelog/standard-version,7603,3,0.03945810864132579
dotnet/extensions,2544,1,0.039308176100628936
panva/jose,5090,2,0.03929273084479371
open-telemetry/opentelemetry-js,2545,1,0.03929273084479371
parcel-bundler/parcel,43288,17,0.0392718536314914
stryker-mutator/stryker,2547,1,0.03926187671770711
netflix/pollyjs,10197,4,0.039227223693243114
facebook/metro-bundler,5113,2,0.03911597887737141
facebook/metro,5114,2,0.03910833007430582
katzer/cordova-plugin-local-notifications,2558,1,0.039093041438623924
eduardoboucas/include-media,2565,1,0.03898635477582846
satya164/react-native-tab-view,5136,2,0.03894080996884735
react-native-community/react-native-tab-view,5136,2,0.03894080996884735
total-typescript/ts-reset,7709,3,0.038915553249448696
metafizzy/zdog,10282,4,0.03890293717175647
transistorsoft/react-native-background-geolocation,2572,1,0.038880248833592534
modood/Administrative-divisions-of-China,18016,7,0.03885435168738899
atomiclabs/cryptocurrency-icons,2577,1,0.038804811796662786
Marak/colors.js,5165,2,0.038722168441432725
matthewp/haunted,2584,1,0.03869969040247678
resend/react-email,12928,5,0.038675742574257425
Sylius/Sylius,7764,3,0.03863987635239567
standard/eslint-config-standard,2589,1,0.03862495171881035
arco-design/arco-design-vue,2589,1,0.03862495171881035
resendlabs/react-email,12952,5,0.03860407659048795
nygardk/react-share,2592,1,0.038580246913580245
lowdefy/lowdefy,2599,1,0.038476337052712584
gre/react-native-view-shot,2600,1,0.038461538461538464
Mottie/tablesorter,2602,1,0.03843197540353574
mozilla/webextension-polyfill,2604,1,0.03840245775729647
streamproc/MediaStreamRecorder,2606,1,0.03837298541826554
replit/kaboom,2611,1,0.038299502106472615
dancormier/react-native-swipeout,2614,1,0.03825554705432287
asciinema/asciinema-player,2617,1,0.03821169277799007
yeemachine/kalidokit,5255,2,0.038058991436726926
tremorlabs/tremor,15786,6,0.03800836183960471
PeachScript/vue-infinite-loading,2646,1,0.03779289493575208
kirill-konshin/next-redux-wrapper,2658,1,0.037622272385252065
prettier/eslint-config-prettier,5326,2,0.03755163349605708
lian-yue/vue-upload-component,2667,1,0.03749531308586427
elegantapp/pwa-asset-generator,2669,1,0.03746721618583739
davidshimjs/qrcodejs,13364,5,0.0374139479197845
takayama-lily/oicq,2676,1,0.03736920777279522
graphql-kit/graphql-faker,2678,1,0.03734129947722181
drizzle-team/drizzle-orm,21470,8,0.037261294829995344
vendure-ecommerce/vendure,5383,2,0.0371540033438603
jsdf/react-native-htmlview,2697,1,0.03707823507601038
