repo_id,repo_names,n_stars,n_stars_low_activity,p_stars_low_activity
MDEwOlJlcG9zaXRvcnk0MDY0MjkxMzc=,AmirHosseinBabaeayan/Python2021,174,100,0.5747126436781609
,dakmak74/legendary-journey,94,54,0.574468085106383
MDEwOlJlcG9zaXRvcnk1OTk1MTU2Ng==,smarques84/MockLocationDetector,1490,853,0.5724832214765101
,eak65/Cashapp,126,72,0.5714285714285714
R_kgDOHdU3Bw,aqvaspirt/seoskillmap,745,425,0.5704697986577181
MDEwOlJlcG9zaXRvcnkzMjg2Mzc2OTU=,rabetofficial/rabet-extension,702,399,0.5683760683760684
,420World69/Tiktok-Unfilter-Api,111,63,0.5675675675675675
MDEwOlJlcG9zaXRvcnkzNTY4Nzg5ODY=,TrashUwU/PokeAssistant,2457,1391,0.5661375661375662
MDEwOlJlcG9zaXRvcnkxNDQ5NTY3ODY=,opensourcewebsite-org/opensourcewebsite-org,977,551,0.563971340839304
R_kgDOLiH9fQ,openex-network/oex,227,128,0.5638766519823789
,DEATH0v0/GitHub-Software,259,146,0.5637065637065637
,Xylanthea/MyProject0643,189,106,0.5608465608465608
R_kgDOKFzgVg,qnpiiz/rich-2.0,127,71,0.5590551181102362
R_kgDOIBN8xg,Editise/Editise,155,86,0.5548387096774193
,lwdrm01/klsp,112,62,0.5535714285714286
,njazich/MEV-BOT,141,78,0.5531914893617021
R_kgDOGN9trw,ayixon/RaPDTool,114,63,0.5526315789473685
,torres2507/lancher,243,134,0.551440329218107
,zelenkaenjoyer/1,107,59,0.5514018691588785
,Matiasp26/Free-Exitlag,274,151,0.551094890510949
,MagicedenMinter/SolanaMint,152,83,0.5460526315789473
,AtomicCheatzz/Fortnite-External,110,60,0.5454545454545454
MDEwOlJlcG9zaXRvcnk2MzUzMTc3,scrapy/loginform,134,73,0.5447761194029851
,Loggner/Apex-Legends-External,140,76,0.5428571428571428
R_kgDOHCn55Q,"help-iq/telethon,help-iq2/telethon",2836,1538,0.5423131170662906
R_kgDOLb4hQw,symfony-orchestra/view-bundle,262,142,0.5419847328244275
,raghavcannotfly/HealVisuals,204,110,0.5392156862745098
R_kgDOLRFlkA,marcellov7/tex,206,111,0.5388349514563107
R_kgDOHdcVPA,dekrypted/discord-image-logger,2402,1289,0.5366361365528726
,kushal00011/megabox,112,60,0.5357142857142857
,Telethon-helper/Help,2788,1478,0.53012912482066
,sherryqaisrani/silver-meme,123,65,0.5284552845528455
MDEwOlJlcG9zaXRvcnkxMjgwNDYyNDE=,tenup-coin/TenUp,120,63,0.525
R_kgDOIYiHKw,IntelCoreI6/gmail-suffix-generator,412,215,0.5218446601941747
,Kadenio/Pancakeswap-Sniper-Bot-Free,1229,635,0.516680227827502
MDEwOlJlcG9zaXRvcnkyODU2MzI5MjA=,SpheroidUniverse/SpheroidScript,153,79,0.5163398692810458
,Telethon-helper/Helper,744,384,0.5161290322580645
R_kgDOLuTqWw,nodelrd/ChatGPT-Next-Web-PLUS,217,112,0.5161290322580645
,ReverserValorant/valorant-moon-cheat,225,116,0.5155555555555555
MDEwOlJlcG9zaXRvcnkzNzQwOTQzODQ=,notional-labs/dig,183,94,0.5136612021857924
,AviDevs21/Aviator-Predictor,121,62,0.512396694214876
MDEwOlJlcG9zaXRvcnkzMDA0Mzg1NTU=,sxzz/sxzz.github.io-old,133,68,0.5112781954887218
R_kgDOKHXGtg,junhua/UOL-OOP-CM2005,229,117,0.5109170305676856
MDEwOlJlcG9zaXRvcnkyMzk3MTU5MTg=,needleworm/bhban_rpa,902,460,0.5099778270509978
MDEwOlJlcG9zaXRvcnkxNTU2NDIyMjc=,LuoPeiQin/DongWeather,429,218,0.5081585081585082
MDEwOlJlcG9zaXRvcnkyMTIzMzcxMjg=,heldplayer/komidabot-docker,194,98,0.5051546391752577
,lwdrm01/SexLove,109,55,0.5045871559633027
R_kgDOHH_w0A,fireinsect/ocg-bot,123,62,0.5040650406504065
R_kgDOGtn1JA,sergiomonteiro76/sergiomonteiro76,250,126,0.504
MDEwOlJlcG9zaXRvcnkzMjQ3MTEwMDg=,New-Club-Penguin/NewCP-App-Build,135,67,0.4962962962962963
MDEwOlJlcG9zaXRvcnkyNDk2ODY2MTE=,Meeds-io/meeds,268,133,0.4962686567164179
,tatyanakhavanskayathearlo/Mev-Bot,494,245,0.4959514170040486
,maomaohan/Mde-toolll,123,61,0.4959349593495935
R_kgDOG5uxYw,"therealgliz/blooket-hacks,lol-jude/Blooket-Hacks",1758,866,0.4926052332195677
,Ayhx1337/XX-Stealer,199,98,0.49246231155778897
,ttpp-1/mevbot.2024,171,84,0.49122807017543857
,DarkNetEye/tor-links,5711,2796,0.4895815093678865
R_kgDOITLqOQ,alvaroreis/bolsonaro2turno,178,87,0.4887640449438202
MDEwOlJlcG9zaXRvcnkzMjYyMDEzNTM=,OhMyGuus/BetterCrewlink-mobile,146,71,0.4863013698630137
R_kgDOKq1oeQ,neronotte/Greg.Xrm.Command,107,52,0.48598130841121495
,M-M-8/IDM-Crack-Internet-Download-Manager2024,171,83,0.4853801169590643
,restbruno/Discord-Boost-Tool,248,120,0.4838709677419355
,drainersandmore21/MULTICHAINDRAINER-ETHEREUM-DRAINER-CRYPTO-DRAINER-2023-ETH-DRAINER-TOKEN-NFT-SEAPORT-,178,86,0.48314606741573035
MDEwOlJlcG9zaXRvcnkyMDYyMzM4ODk=,kwsch/PKHeX.Mobile,822,397,0.4829683698296837
R_kgDOLfYaLw,ssebowa/ssebowa-UI,106,51,0.4811320754716981
R_kgDOLDUjzg,Diatessaron/finder,524,251,0.47900763358778625
,Mlsakdker/Radar,126,60,0.47619047619047616
,telethon-Arab/Helper,168,80,0.47619047619047616
,Globalite57/Pancakeswap-Sniper-Bot-Free-BSC-Sniper-Bot,221,105,0.4751131221719457
,Deborahbj61/helldivers-2-hack,205,97,0.47317073170731705
MDEwOlJlcG9zaXRvcnkzMjY4MDAzODk=,ryannair05/Little12,125,59,0.472
,drainersandmore/eth-drainer-crypto-multidrainer-ethereum-wallet-drainer-seaport-2023,142,67,0.47183098591549294
R_kgDOHrRTig,topos-protocol/topos,164,77,0.4695121951219512
MDEwOlJlcG9zaXRvcnkyNzg0NTc2MjI=,stt-datacore/cpp-image-analysis,126,59,0.46825396825396826
,MRYYAHYW/Agent,317,148,0.4668769716088328
R_kgDOLesVeQ,Prescoter/Emora-Project,479,223,0.46555323590814196
R_kgDOJPmjLA,minesraft4/blooket-gui,174,81,0.46551724137931033
MDEwOlJlcG9zaXRvcnkxNDAzMzcxNTg=,vip-git/react-jsonschema-form-material-ui,157,73,0.46496815286624205
MDEwOlJlcG9zaXRvcnkzNzYyMTIxNTU=,origin0110/OriginShader,281,130,0.4626334519572954
R_kgDOLb8CWw,fofr/cog-face-to-many,1240,573,0.4620967741935484
MDEwOlJlcG9zaXRvcnkxMTUxNzExNzQ=,daydreamer1222/WeCatch-Android,291,134,0.46048109965635736
MDEwOlJlcG9zaXRvcnkzNjUwNjc1OTg=,"4xmen/anubias,4xmen/Anubias-Desktop",2081,951,0.4569918308505526
,areebaslam638/arees,160,73,0.45625
,idk10-a/aviator,301,137,0.45514950166112955
R_kgDOJAqzqA,shabbywu/Battle-Brothers-CN,418,190,0.45454545454545453
,mihmaiorovgu/youtube-booster,176,80,0.45454545454545453
MDEwOlJlcG9zaXRvcnkzOTI2MDE5Mw==,Groestlcoin/groestlcoin,850,386,0.4541176470588235
R_kgDOMNjLOQ,abhiag/nubit_light_Node,140,63,0.45
,PreaawX/Aviator-Predictor-FULL,138,62,0.4492753623188406
MDEwOlJlcG9zaXRvcnkzODUyOTAxODg=,"SealedSaucer/Statuscord,SealedSaucer/Fake-Streamer",741,331,0.446693657219973
MDEwOlJlcG9zaXRvcnkzNzE2OTYyMzM=,liusongxiang/diffsvc,112,50,0.44642857142857145
,DeFiMasterd/PancakeX-ASTRA-V2-BSC-Sniping-Bot,2083,923,0.443110897743639
R_kgDOIxNKIQ,denistreshchev/128iid,129,57,0.4418604651162791
R_kgDOKjKMfA,joaokristani/Discord-server-cloner2web,159,70,0.44025157232704404
R_kgDOJFLi-A,HipoFinance/contract,267,117,0.43820224719101125
R_kgDOGTwJ6w,numbersprotocol/community-support,233,102,0.43776824034334766
,ulnk/scam,142,62,0.43661971830985913
,restbruno/Discord-Token-Checker,227,99,0.43612334801762115
,terra-rebels/classic-core,644,279,0.4332298136645963
MDEwOlJlcG9zaXRvcnkyMDE3NTk4NTk=,denandreychuk/EasySwiftLayout,332,142,0.42771084337349397
MDEwOlJlcG9zaXRvcnkyMzA5Mzg2MTU=,DeWizzard/SMS-Bomber,204,87,0.4264705882352941
,HolyMxlly/Pancakeswap_Sniper_Bot_BSC,401,171,0.42643391521197005
R_kgDOGmcTDQ,Curzsu/LukeDict,146,62,0.4246575342465753
,viski-80/MevBot,295,125,0.423728813559322
R_kgDOLUv5lQ,leroxrd/Artic-Free,118,50,0.423728813559322
R_kgDOLs0jkg,ArchiDreamZ/Living_With_Sister-Monochrome_Fantasy-Android-Chinese_localization,133,56,0.42105263157894735
R_kgDOJGnIaQ,LinkedInLearning/sql-for-data-analysis-3271025,136,57,0.41911764705882354
R_kgDOGcRQMQ,mewzax/Discord-RPC-Selfbot,227,95,0.4185022026431718
,Yubyqeme/ARBITRAGE-MEV-BOT,146,61,0.4178082191780822
,restbruno/Discord-Nitro-Purchaser,225,94,0.4177777777777778
,HollowMan6/LZU-Auto-COVID-Health-Report,503,209,0.415506958250497
MDEwOlJlcG9zaXRvcnkxODM3NDMwMTg=,MartyrPher/SMAPI-Android-Installer,210,87,0.4142857142857143
,karnadir/Sniper-Bot,232,96,0.41379310344827586
MDEwOlJlcG9zaXRvcnkxODg0MTk1NTY=,TelegramMessenger/bodymovin-extension,1369,565,0.4127100073046019
MDEwOlJlcG9zaXRvcnkyOTcxMjcwMzE=,yfbeta/yfbeta.finance,143,59,0.4125874125874126
MDEwOlJlcG9zaXRvcnkzMjU0MDM3Njk=,cidacastello/curso-logica-programacao,316,130,0.41139240506329117
MDEwOlJlcG9zaXRvcnkzMjEwOTA3OTU=,zizifn3/test-deno,141,58,0.41134751773049644
,BlockAudit-Report/CryptoHero,338,139,0.41124260355029585
,elyes692/234g342g4,222,91,0.4099099099099099
MDEwOlJlcG9zaXRvcnkxNzQ1MTA4NTA=,Joystream/joystream,1671,682,0.40813883901855175
,sdaweqr/Lol-Hax-Panel,167,68,0.40718562874251496
MDEwOlJlcG9zaXRvcnkyOTE5MTMwMjY=,Coinversation/white-paper,315,128,0.40634920634920635
MDEwOlJlcG9zaXRvcnk0MDMyMzM5NTc=,thatskymod/Sky-CotL-Scripts,399,161,0.40350877192982454
R_kgDOGItv0g,teletips/CountdownTimer-TeLeTiPs,243,98,0.40329218106995884
,abid83/vcmd-2.48,365,146,0.4
,Guilherme-R-Santos/AO-Radar-Albion,178,71,0.398876404494382
R_kgDOG1EDeA,pointer-gg/comments-with-polygon,128,51,0.3984375
,siriustools/sirius-crypter,320,127,0.396875
MDEwOlJlcG9zaXRvcnkxOTczNDExMDU=,Flame-Hyre/FHToken,174,69,0.39655172413793105
R_kgDOHahyVA,PREP-NexT/PREP-SHOT,348,137,0.3936781609195402
,Litteeen/AmongLock,282,110,0.3900709219858156
MDEwOlJlcG9zaXRvcnkyNTUwMTg0NjM=,sfx101/docker-stacks,423,165,0.3900709219858156
R_kgDOIXSkOw,lironmiz/Computer-Science-in-Java,162,63,0.3888888888888889
,drainersandmore2/MULTICHAINDRAINER-ETHEREUM-DRAINER-CRYPTO-DRAINER-2023-ETH-DRAINER-TOKEN-NFT-SEAPORT,194,75,0.3865979381443299
,drainersandmore/MULTICHAINDRAINER-ETHEREUM-DRAINER-CRYPTO-DRAINER-2023-ETH-DRAINER-TOKEN-NFT-SEAPORT,215,83,0.386046511627907
MDEwOlJlcG9zaXRvcnkzOTI1MTc3NzA=,overmind1980/oeasy-python-tutorial,1523,587,0.3854235062376888
,DrainerstoreTG/MULTICHAIN-DRAINER-2023-ETH-CRYPTO-DRAINER-TOKEN-NFT-SEAPORT,317,122,0.38485804416403785
,restbruno/Discord-Mass-DM,216,83,0.38425925925925924
MDEwOlJlcG9zaXRvcnkyNjIyODA2NTU=,TheWizWikii/WIKISTORE,251,96,0.38247011952191234
R_kgDOGQWdRA,Yule718/Yule718,437,167,0.38215102974828374
R_kgDOHBiRRQ,umutxyp/Discord-Vanity-URL-Sniper,454,173,0.381057268722467
MDEwOlJlcG9zaXRvcnkyODI1MzY3NzI=,martindapol/Diplo_NT_Intro_Programacion,176,67,0.3806818181818182
